,user,service,value
0,0WFqeFiPx3K,arabiar tea,0.0
1,0a4Qn,arabiar tea,0.0
2,13zpiFiAzJ,arabiar tea,0.0
3,2qDLEBNv,arabiar tea,0.0
4,55reHHf,arabiar tea,0.0
5,5pVcV5V,arabiar tea,0.0
6,93xlxT,arabiar tea,0.0
7,CCMAqXtVdM,arabiar tea,0.0
8,CkfZksM2rBrL,arabiar tea,0.0
9,CuAgSlJwl,arabiar tea,0.0
10,D6F0qp7s7,arabiar tea,0.0
11,F96Kv,arabiar tea,0.0
12,FHZemZ,arabiar tea,0.0
13,FmxgvxmU,arabiar tea,0.0
14,I3RXU,arabiar tea,0.0
15,IQtg13hB,arabiar tea,0.0
16,M8TX69h8,arabiar tea,0.034482758620689655
17,OCUnH,arabiar tea,0.0
18,OJwzAJ33l,arabiar tea,0.0
19,P5BAwzTfB,arabiar tea,0.0
20,TRFKSXv,arabiar tea,0.0
21,Vhpk5shpkk,arabiar tea,0.08
22,Yx3rQ,arabiar tea,0.0
23,anH4HDH,arabiar tea,0.0
24,d4guBrpB,arabiar tea,0.0
25,fJlBu,arabiar tea,0.0
26,fa6SQ,arabiar tea,0.0
27,gKUuuzg9,arabiar tea,0.0
28,ieuWQ,arabiar tea,0.0
29,iia5SP5,arabiar tea,0.0
30,jb1CjU1HF,arabiar tea,0.0
31,larri45h,arabiar tea,0.0
32,oS7WZT0,arabiar tea,0.0
33,qpzNDzybrsi,arabiar tea,0.0
34,sZfLY,arabiar tea,0.0
35,uhDooz5uD,arabiar tea,0.0
36,vRXyI,arabiar tea,0.0
37,ws0cho3,arabiar tea,0.0
38,ymETMF4M4,arabiar tea,0.0
39,0WFqeFiPx3K,capuccino,0.0
40,0a4Qn,capuccino,0.23529411764705882
41,13zpiFiAzJ,capuccino,0.0
42,2qDLEBNv,capuccino,0.0
43,55reHHf,capuccino,0.0
44,5pVcV5V,capuccino,0.0
45,93xlxT,capuccino,0.0
46,CCMAqXtVdM,capuccino,0.0
47,CkfZksM2rBrL,capuccino,0.0
48,CuAgSlJwl,capuccino,0.0
49,D6F0qp7s7,capuccino,0.0
