user,service,sumInteractions,nro_interactions,iri
0WFqeFiPx3K,capuccino decaffeinated,2.0,2.0,http://ontologies/interactioncontext#rating_0_2
0a4Qn,arabiar tea,0.0,11.0,http://ontologies/interactioncontext#rating_27_0
0a4Qn,capuccino,2.0,11.0,http://ontologies/interactioncontext#rating_27_1
0a4Qn,cortado,0.5,11.0,http://ontologies/interactioncontext#rating_27_5
0a4Qn,cortado decaffeinated,0.5,11.0,http://ontologies/interactioncontext#rating_27_6
0a4Qn,expresso,0.0,11.0,http://ontologies/interactioncontext#rating_27_8
0a4Qn,long_coffee,0.0,11.0,http://ontologies/interactioncontext#rating_27_11
0a4Qn,long_decaffeinated,0.0,11.0,http://ontologies/interactioncontext#rating_27_12
0a4Qn,milk_coffee,3.0,11.0,http://ontologies/interactioncontext#rating_27_13
0a4Qn,milk_coffee kafeinagabe,1.0,11.0,http://ontologies/interactioncontext#rating_27_14
0a4Qn,txokolate white,4.0,11.0,http://ontologies/interactioncontext#rating_27_15
2qDLEBNv,chocolate,1.0,5.0,http://ontologies/interactioncontext#rating_2_3
2qDLEBNv,hazelnut_cappuccino,1.0,5.0,http://ontologies/interactioncontext#rating_2_9
2qDLEBNv,long_coffee,2.0,5.0,http://ontologies/interactioncontext#rating_2_11
2qDLEBNv,milk_coffee,1.0,5.0,http://ontologies/interactioncontext#rating_2_13
55reHHf,milk_coffee,1.0,1.0,http://ontologies/interactioncontext#rating_3_13
5pVcV5V,chocolate,16.0,32.0,http://ontologies/interactioncontext#rating_4_3
5pVcV5V,hazelnut_cappuccino,16.0,32.0,http://ontologies/interactioncontext#rating_4_9
93xlxT,chocolate,131.0,177.0,http://ontologies/interactioncontext#rating_5_3
93xlxT,cortado decaffeinated,40.0,177.0,http://ontologies/interactioncontext#rating_5_6
93xlxT,expresso,2.0,177.0,http://ontologies/interactioncontext#rating_5_8
93xlxT,hazelnut_cappuccino,4.0,177.0,http://ontologies/interactioncontext#rating_5_9
CCMAqXtVdM,cortado,5.0,5.0,http://ontologies/interactioncontext#rating_6_5
CkfZksM2rBrL,cortado,4.0,4.0,http://ontologies/interactioncontext#rating_7_5
CuAgSlJwl,arabiar tea,0.0,166.5,http://ontologies/interactioncontext#rating_8_0
CuAgSlJwl,cortado,28.0,166.5,http://ontologies/interactioncontext#rating_8_5
CuAgSlJwl,expresso,1.0,166.5,http://ontologies/interactioncontext#rating_8_8
CuAgSlJwl,milk_coffee,137.0,166.5,http://ontologies/interactioncontext#rating_8_13
CuAgSlJwl,milk_coffee kafeinagabe,0.5,166.5,http://ontologies/interactioncontext#rating_8_14
D6F0qp7s7,chocolate_milk,2.0,77.0,http://ontologies/interactioncontext#rating_9_4
D6F0qp7s7,cortado,74.0,77.0,http://ontologies/interactioncontext#rating_9_5
D6F0qp7s7,milk_coffee,1.0,77.0,http://ontologies/interactioncontext#rating_9_13
F96Kv,hazelnut_cappuccino,0.5,2.5,http://ontologies/interactioncontext#rating_37_9
F96Kv,long_decaffeinated,0.0,2.5,http://ontologies/interactioncontext#rating_37_12
F96Kv,milk_coffee,2.0,2.5,http://ontologies/interactioncontext#rating_37_13
FHZemZ,capuccino,8.0,10.0,http://ontologies/interactioncontext#rating_10_1
FHZemZ,milk_coffee,2.0,10.0,http://ontologies/interactioncontext#rating_10_13
FmxgvxmU,capuccino decaffeinated,1.0,190.0,http://ontologies/interactioncontext#rating_11_2
FmxgvxmU,chocolate,3.0,190.0,http://ontologies/interactioncontext#rating_11_3
FmxgvxmU,cortado,166.0,190.0,http://ontologies/interactioncontext#rating_11_5
FmxgvxmU,cortado decaffeinated,2.0,190.0,http://ontologies/interactioncontext#rating_11_6
FmxgvxmU,decaffeinated,1.0,190.0,http://ontologies/interactioncontext#rating_11_7
FmxgvxmU,expresso,10.0,190.0,http://ontologies/interactioncontext#rating_11_8
FmxgvxmU,light_coffee,2.0,190.0,http://ontologies/interactioncontext#rating_11_10
FmxgvxmU,milk_coffee,5.0,190.0,http://ontologies/interactioncontext#rating_11_13
I3RXU,cortado,0.0,9.0,http://ontologies/interactioncontext#rating_30_5
I3RXU,milk_coffee,9.0,9.0,http://ontologies/interactioncontext#rating_30_13
IQtg13hB,expresso,49.0,49.0,http://ontologies/interactioncontext#rating_12_8
M8TX69h8,milk_coffee,2.0,2.0,http://ontologies/interactioncontext#rating_13_13
OCUnH,arabiar tea,0.0,8.0,http://ontologies/interactioncontext#rating_29_0
OCUnH,capuccino,0.5,8.0,http://ontologies/interactioncontext#rating_29_1
OCUnH,chocolate_milk,2.0,8.0,http://ontologies/interactioncontext#rating_29_4
OCUnH,cortado,0.5,8.0,http://ontologies/interactioncontext#rating_29_5
OCUnH,decaffeinated,0.0,8.0,http://ontologies/interactioncontext#rating_29_7
OCUnH,expresso,4.0,8.0,http://ontologies/interactioncontext#rating_29_8
OCUnH,hazelnut_cappuccino,0.0,8.0,http://ontologies/interactioncontext#rating_29_9
OCUnH,light_coffee,0.0,8.0,http://ontologies/interactioncontext#rating_29_10
OCUnH,long_coffee,0.0,8.0,http://ontologies/interactioncontext#rating_29_11
OCUnH,long_decaffeinated,0.0,8.0,http://ontologies/interactioncontext#rating_29_12
