user,service_name,parameter,subservice_name,value,startdate,id,contextvalue,context_name
eurkia,machine_selection,danobatgroup.com/,LG400A-100648 (RECC06) TX,1.0,1694601316,1000,GeneralResearcher,role
eurkia,machine_selection,danobatgroup.com/,LG400A-100648 (RECC06) TX,1.0,1694601316,1000,t1,shift
dbarrenetxea,machine_selection,danobatgroup.com/,LG1000 - 100672 IDK,1.0,1695326615,1001,GrindingResearcher,role
dbarrenetxea,machine_selection,danobatgroup.com/,LG1000 - 100672 IDK,1.0,1695326615,1001,t2,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695628873,1002,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695628873,1002,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695633767,1003,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695633767,1003,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695635276,1004,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695635276,1004,t1,shift
ubueno,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695634086,1005,GeneralResearcher,role
ubueno,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695634086,1005,t1,shift
ubueno,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695710096,1006,GeneralResearcher,role
ubueno,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695710096,1006,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1695712669,1007,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1695712669,1007,t1,shift
dbarrenetxea,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695715725,1008,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695715725,1008,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1695713191,1009,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1695713191,1009,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695712935,1010,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695712935,1010,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1695719808,1011,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1695719808,1011,t1,shift
dbarrenetxea,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695730449,1012,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695730449,1012,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1695974644,1013,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1695974644,1013,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1695985929,1014,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1695985929,1014,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695985772,1015,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1695985772,1015,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696235962,1016,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696235962,1016,t1,shift
jalvarez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1696238941,1017,GrindingResearcher,role
jalvarez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1696238941,1017,t1,shift
iricondo,machine_selection,danobatgroup.com/,DM2 Test,1.0,1696243851,1018,GeneralResearcher,role
iricondo,machine_selection,danobatgroup.com/,DM2 Test,1.0,1696243851,1018,t1,shift
iricondo,machine_selection,danobatgroup.com/,LG600-B8-110000578 LINAMAR,1.0,1696243844,1019,GeneralResearcher,role
iricondo,machine_selection,danobatgroup.com/,LG600-B8-110000578 LINAMAR,1.0,1696243844,1019,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696252132,1020,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696252132,1020,t2,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696254549,1021,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696254549,1021,t2,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696269078,1022,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696269078,1022,t2,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696315412,1023,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696315412,1023,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696315578,1024,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696315578,1024,t1,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1696321606,1025,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1696321606,1025,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696325453,1026,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696325453,1026,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696325466,1027,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696325466,1027,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696328464,1028,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696328464,1028,t1,shift
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696332351,1029,GeneralResearcher,role
ggutierrezeizaguirre,machine_selection,ideko.es/,110000556 DEC,1.0,1696332351,1029,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696399219,1030,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696399219,1030,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696396209,1031,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696396209,1031,t2,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1696405293,1032,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1696405293,1032,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696409190,1033,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696409190,1033,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696417669,1034,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696417669,1034,t1,shift
pruiz,machine_selection,ideko.es/,110000556 DEC,1.0,1696422672,1035,GrindingResearcher,role
pruiz,machine_selection,ideko.es/,110000556 DEC,1.0,1696422672,1035,t1,shift
pruiz,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1696422680,1036,GrindingResearcher,role
pruiz,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1696422680,1036,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696432557,1037,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696432557,1037,t2,shift
