user,service,value,s
afgomez,110000556 DEC,1,1696924160
afgomez,grinding-force-stats,1,1699448165
afgomez,grinding-material-fed,1,1699448165
afgomez,LG600B6-100636-IDK,1,1697013963
afgomez,LG600B6-100636-IDK,1,1699448165
afgomez,TDOMONWH2X1,0.5,1696924160
afgomez,TDOMONWH2X1,0.5,1697013963
afgomez,TDOMONWH2X1,0.5,1699448165
afgomez,TDOMONWH2X1,1,1696924160
afgomez,TDOMONWH2X1,1,1697013963
afgomez,TDOMONWH2X1,1,1699448165
afgomez,Wheelhead2Power,1,1696924160
afgomez,Wheelhead2Power,1,1697013963
dbarrenetxea,110000556 DEC,1,1695712669
dbarrenetxea,110000556 DEC,1,1695719808
dbarrenetxea,110000556 DEC,1,1695974644
dbarrenetxea,110000556 DEC,1,1696235962
dbarrenetxea,110000556 DEC,1,1696252132
dbarrenetxea,110000556 DEC,1,1696269078
dbarrenetxea,110000556 DEC,1,1696315412
dbarrenetxea,110000556 DEC,1,1696396209
dbarrenetxea,110000556 DEC,1,1696399219
dbarrenetxea,110000556 DEC,1,1696409190
dbarrenetxea,110000556 DEC,1,1696417669
dbarrenetxea,110000556 DEC,1,1696432557
dbarrenetxea,110000556 DEC,1,1696439221
dbarrenetxea,110000556 DEC,1,1696492466
dbarrenetxea,110000556 DEC,1,1696495346
dbarrenetxea,110000556 DEC,1,1696515594
dbarrenetxea,110000556 DEC,1,1696574567
dbarrenetxea,110000556 DEC,1,1696584197
dbarrenetxea,110000556 DEC,1,1696588683
dbarrenetxea,110000556 DEC,1,1696601954
dbarrenetxea,110000556 DEC,1,1696833946
dbarrenetxea,110000556 DEC,1,1696853613
dbarrenetxea,110000556 DEC,1,1696927289
dbarrenetxea,110000556 DEC,1,1696947802
dbarrenetxea,110000556 DEC,1,1697440392
dbarrenetxea,110000556 DEC,1,1697533040
dbarrenetxea,110000556 DEC,1,1697792878
dbarrenetxea,110000556 DEC,1,1697811041
dbarrenetxea,110000556 DEC,1,1697822875
dbarrenetxea,110000556 DEC,1,1698220506
dbarrenetxea,110000556 DEC,1,1698751430
dbarrenetxea,110000556 DEC,1,1699883345
dbarrenetxea,110000556 DEC,1,1699887765
dbarrenetxea,110000556 DEC,1,1699907890
dbarrenetxea,110000556 DEC,1,1699945049
