,user,service,value
0,afgomez,110000556 DEC,0.3333333333333333
1,dbarrenetxea,110000556 DEC,0.9
2,eamilibia,110000556 DEC,1.0
3,eurkia,110000556 DEC,0.0
4,ggutierrezeizaguirre,110000556 DEC,0.6153846153846154
5,iricondo,110000556 DEC,0.0
6,jalvarez,110000556 DEC,0.0
7,pruiz,110000556 DEC,0.5
8,ubueno,110000556 DEC,0.25
9,afgomez,CAxisPower,0.0
10,dbarrenetxea,CAxisPower,0.0
11,eamilibia,CAxisPower,0.0
12,eurkia,CAxisPower,0.0
13,ggutierrezeizaguirre,CAxisPower,0.0
14,iricondo,CAxisPower,1.0
15,jalvarez,CAxisPower,0.0
16,pruiz,CAxisPower,0.0
17,ubueno,CAxisPower,0.0
18,afgomez,CAxisSpeed_actual,0.0
19,dbarrenetxea,CAxisSpeed_actual,0.10638297872340426
20,eamilibia,CAxisSpeed_actual,0.0
21,eurkia,CAxisSpeed_actual,0.0
22,ggutierrezeizaguirre,CAxisSpeed_actual,0.0
23,iricondo,CAxisSpeed_actual,0.0
24,jalvarez,CAxisSpeed_actual,0.5
25,pruiz,CAxisSpeed_actual,0.125
26,ubueno,CAxisSpeed_actual,0.0
27,afgomez,DM2 Test,0.0
28,dbarrenetxea,DM2 Test,0.0
29,eamilibia,DM2 Test,0.0
30,eurkia,DM2 Test,0.0
31,ggutierrezeizaguirre,DM2 Test,0.0
32,iricondo,DM2 Test,0.3333333333333333
33,jalvarez,DM2 Test,0.0
34,pruiz,DM2 Test,0.0
35,ubueno,DM2 Test,0.0
36,afgomez,ESTARTA315FV-100626 (E-315,0.0
37,dbarrenetxea,ESTARTA315FV-100626 (E-315,0.0
38,eamilibia,ESTARTA315FV-100626 (E-315,0.0
39,eurkia,ESTARTA315FV-100626 (E-315,0.0
40,ggutierrezeizaguirre,ESTARTA315FV-100626 (E-315,0.0
41,iricondo,ESTARTA315FV-100626 (E-315,0.3333333333333333
42,jalvarez,ESTARTA315FV-100626 (E-315,0.0
43,pruiz,ESTARTA315FV-100626 (E-315,0.0
44,ubueno,ESTARTA315FV-100626 (E-315,0.0
45,afgomez,LG1000 - 100672 IDK,0.0
46,dbarrenetxea,LG1000 - 100672 IDK,0.025
47,eamilibia,LG1000 - 100672 IDK,0.0
48,eurkia,LG1000 - 100672 IDK,0.0
49,ggutierrezeizaguirre,LG1000 - 100672 IDK,0.0
50,iricondo,LG1000 - 100672 IDK,0.0
51,jalvarez,LG1000 - 100672 IDK,0.0
52,pruiz,LG1000 - 100672 IDK,0.0
53,ubueno,LG1000 - 100672 IDK,0.0
54,afgomez,LG400A-100648 (RECC06) TX,0.0
55,dbarrenetxea,LG400A-100648 (RECC06) TX,0.0
56,eamilibia,LG400A-100648 (RECC06) TX,0.0
57,eurkia,LG400A-100648 (RECC06) TX,1.0
58,ggutierrezeizaguirre,LG400A-100648 (RECC06) TX,0.0
59,iricondo,LG400A-100648 (RECC06) TX,0.0
60,jalvarez,LG400A-100648 (RECC06) TX,0.0
61,pruiz,LG400A-100648 (RECC06) TX,0.0
62,ubueno,LG400A-100648 (RECC06) TX,0.0
63,afgomez,LG600-B8-110000578 LINAMAR,0.0
64,dbarrenetxea,LG600-B8-110000578 LINAMAR,0.0
65,eamilibia,LG600-B8-110000578 LINAMAR,0.0
66,eurkia,LG600-B8-110000578 LINAMAR,0.0
67,ggutierrezeizaguirre,LG600-B8-110000578 LINAMAR,0.0
68,iricondo,LG600-B8-110000578 LINAMAR,0.3333333333333333
69,jalvarez,LG600-B8-110000578 LINAMAR,0.0
70,pruiz,LG600-B8-110000578 LINAMAR,0.0
71,ubueno,LG600-B8-110000578 LINAMAR,0.0
72,afgomez,LG600B6-100636-IDK,0.6666666666666666
73,dbarrenetxea,LG600B6-100636-IDK,0.075
74,eamilibia,LG600B6-100636-IDK,0.0
75,eurkia,LG600B6-100636-IDK,0.0
76,ggutierrezeizaguirre,LG600B6-100636-IDK,0.38461538461538464
77,iricondo,LG600B6-100636-IDK,0.0
78,jalvarez,LG600B6-100636-IDK,1.0
79,pruiz,LG600B6-100636-IDK,0.5
80,ubueno,LG600B6-100636-IDK,0.75
81,afgomez,TDOMONWH1X1,0.0
82,dbarrenetxea,TDOMONWH1X1,0.0
83,eamilibia,TDOMONWH1X1,0.0
84,eurkia,TDOMONWH1X1,0.0
85,ggutierrezeizaguirre,TDOMONWH1X1,0.0
86,iricondo,TDOMONWH1X1,0.0
87,jalvarez,TDOMONWH1X1,0.5
88,pruiz,TDOMONWH1X1,0.0
89,ubueno,TDOMONWH1X1,0.0
90,afgomez,TDOMONWH2X1,1.0
91,dbarrenetxea,TDOMONWH2X1,0.975609756097561
92,eamilibia,TDOMONWH2X1,1.0
93,eurkia,TDOMONWH2X1,1.0
94,ggutierrezeizaguirre,TDOMONWH2X1,1.0
95,iricondo,TDOMONWH2X1,1.0
96,jalvarez,TDOMONWH2X1,0.5
97,pruiz,TDOMONWH2X1,0.6666666666666666
98,ubueno,TDOMONWH2X1,0.8
99,afgomez,TDOMONWH2X1Z1,0.0
100,dbarrenetxea,TDOMONWH2X1Z1,0.024390243902439025
101,eamilibia,TDOMONWH2X1Z1,0.0
102,eurkia,TDOMONWH2X1Z1,0.0
103,ggutierrezeizaguirre,TDOMONWH2X1Z1,0.0
104,iricondo,TDOMONWH2X1Z1,0.0
105,jalvarez,TDOMONWH2X1Z1,0.0
106,pruiz,TDOMONWH2X1Z1,0.0
107,ubueno,TDOMONWH2X1Z1,0.2
108,afgomez,TDOMONWH2Z1,0.0
109,dbarrenetxea,TDOMONWH2Z1,0.0
110,eamilibia,TDOMONWH2Z1,0.0
111,eurkia,TDOMONWH2Z1,0.0
112,ggutierrezeizaguirre,TDOMONWH2Z1,0.0
113,iricondo,TDOMONWH2Z1,0.0
114,jalvarez,TDOMONWH2Z1,0.0
115,pruiz,TDOMONWH2Z1,0.3333333333333333
116,ubueno,TDOMONWH2Z1,0.0
117,afgomez,Wheelhead1Power,0.0
118,dbarrenetxea,Wheelhead1Power,0.0
119,eamilibia,Wheelhead1Power,0.0
120,eurkia,Wheelhead1Power,1.0
121,ggutierrezeizaguirre,Wheelhead1Power,0.0
122,iricondo,Wheelhead1Power,0.0
123,jalvarez,Wheelhead1Power,0.5
124,pruiz,Wheelhead1Power,0.0
125,ubueno,Wheelhead1Power,0.0
126,afgomez,Wheelhead2Power,1.0
127,dbarrenetxea,Wheelhead2Power,0.5531914893617021
128,eamilibia,Wheelhead2Power,1.0
129,eurkia,Wheelhead2Power,0.0
130,ggutierrezeizaguirre,Wheelhead2Power,0.4444444444444444
131,iricondo,Wheelhead2Power,0.0
132,jalvarez,Wheelhead2Power,0.0
133,pruiz,Wheelhead2Power,0.25
134,ubueno,Wheelhead2Power,0.5
135,afgomez,Wheelhead2Speed_actual,0.0
136,dbarrenetxea,Wheelhead2Speed_actual,0.10638297872340426
137,eamilibia,Wheelhead2Speed_actual,0.0
138,eurkia,Wheelhead2Speed_actual,0.0
139,ggutierrezeizaguirre,Wheelhead2Speed_actual,0.0
140,iricondo,Wheelhead2Speed_actual,0.0
141,jalvarez,Wheelhead2Speed_actual,0.0
142,pruiz,Wheelhead2Speed_actual,0.125
143,ubueno,Wheelhead2Speed_actual,0.25
144,afgomez,X1AxisForce,0.0
145,dbarrenetxea,X1AxisForce,0.06382978723404255
146,eamilibia,X1AxisForce,0.0
147,eurkia,X1AxisForce,0.0
148,ggutierrezeizaguirre,X1AxisForce,0.0
149,iricondo,X1AxisForce,0.0
150,jalvarez,X1AxisForce,0.0
151,pruiz,X1AxisForce,0.125
152,ubueno,X1AxisForce,0.0
153,afgomez,X1AxisPosition_actual,0.0
154,dbarrenetxea,X1AxisPosition_actual,0.02127659574468085
155,eamilibia,X1AxisPosition_actual,0.0
156,eurkia,X1AxisPosition_actual,0.0
157,ggutierrezeizaguirre,X1AxisPosition_actual,0.2222222222222222
158,iricondo,X1AxisPosition_actual,0.0
159,jalvarez,X1AxisPosition_actual,0.0
160,pruiz,X1AxisPosition_actual,0.125
161,ubueno,X1AxisPosition_actual,0.25
162,afgomez,X1AxisSpeed_commanded,0.0
163,dbarrenetxea,X1AxisSpeed_commanded,0.0
164,eamilibia,X1AxisSpeed_commanded,0.0
165,eurkia,X1AxisSpeed_commanded,0.0
166,ggutierrezeizaguirre,X1AxisSpeed_commanded,0.2222222222222222
167,iricondo,X1AxisSpeed_commanded,0.0
168,jalvarez,X1AxisSpeed_commanded,0.0
169,pruiz,X1AxisSpeed_commanded,0.0
170,ubueno,X1AxisSpeed_commanded,0.0
171,afgomez,Z1AxisForce,0.0
172,dbarrenetxea,Z1AxisForce,0.0851063829787234
173,eamilibia,Z1AxisForce,0.0
174,eurkia,Z1AxisForce,0.0
175,ggutierrezeizaguirre,Z1AxisForce,0.0
176,iricondo,Z1AxisForce,0.0
177,jalvarez,Z1AxisForce,0.0
178,pruiz,Z1AxisForce,0.25
179,ubueno,Z1AxisForce,0.0
180,afgomez,Z1AxisSpeed_commanded,0.0
181,dbarrenetxea,Z1AxisSpeed_commanded,0.06382978723404255
182,eamilibia,Z1AxisSpeed_commanded,0.0
183,eurkia,Z1AxisSpeed_commanded,0.0
184,ggutierrezeizaguirre,Z1AxisSpeed_commanded,0.1111111111111111
185,iricondo,Z1AxisSpeed_commanded,0.0
186,jalvarez,Z1AxisSpeed_commanded,0.0
187,pruiz,Z1AxisSpeed_commanded,0.0
188,ubueno,Z1AxisSpeed_commanded,0.0
189,afgomez,basic-basic-stats,0.0
190,dbarrenetxea,basic-basic-stats,0.06818181818181818
191,eamilibia,basic-basic-stats,0.0
192,eurkia,basic-basic-stats,0.0
193,ggutierrezeizaguirre,basic-basic-stats,0.0
194,iricondo,basic-basic-stats,0.0
195,jalvarez,basic-basic-stats,0.0
196,pruiz,basic-basic-stats,0.0
197,ubueno,basic-basic-stats,0.0
198,afgomez,basic-quotient,0.0
199,dbarrenetxea,basic-quotient,0.022727272727272728
200,eamilibia,basic-quotient,0.0
201,eurkia,basic-quotient,0.0
202,ggutierrezeizaguirre,basic-quotient,0.0
203,iricondo,basic-quotient,0.0
204,jalvarez,basic-quotient,0.0
205,pruiz,basic-quotient,0.0
206,ubueno,basic-quotient,0.0
207,afgomez,common-fft,0.0
208,dbarrenetxea,common-fft,0.038461538461538464
209,eamilibia,common-fft,1.0
210,eurkia,common-fft,0.0
211,ggutierrezeizaguirre,common-fft,0.0
212,iricondo,common-fft,0.0
213,jalvarez,common-fft,0.0
214,pruiz,common-fft,0.0
215,ubueno,common-fft,0.0
216,afgomez,common-moving-average,0.0
217,dbarrenetxea,common-moving-average,0.2692307692307692
218,eamilibia,common-moving-average,0.0
219,eurkia,common-moving-average,0.0
220,ggutierrezeizaguirre,common-moving-average,0.0
221,iricondo,common-moving-average,0.0
222,jalvarez,common-moving-average,0.0
223,pruiz,common-moving-average,0.0
224,ubueno,common-moving-average,0.0
225,afgomez,common-negate,0.0
226,dbarrenetxea,common-negate,0.038461538461538464
227,eamilibia,common-negate,0.0
228,eurkia,common-negate,0.0
229,ggutierrezeizaguirre,common-negate,0.0
230,iricondo,common-negate,0.0
231,jalvarez,common-negate,0.0
232,pruiz,common-negate,0.5
233,ubueno,common-negate,0.0
234,afgomez,grinding-center,0.0
235,dbarrenetxea,grinding-center,0.6538461538461539
236,eamilibia,grinding-center,0.0
237,eurkia,grinding-center,0.0
238,ggutierrezeizaguirre,grinding-center,1.0
239,iricondo,grinding-center,0.0
240,jalvarez,grinding-center,0.0
241,pruiz,grinding-center,0.5
242,ubueno,grinding-center,0.0
243,afgomez,grinding-contact-point,0.0
244,dbarrenetxea,grinding-contact-point,0.022727272727272728
245,eamilibia,grinding-contact-point,0.0
246,eurkia,grinding-contact-point,0.0
247,ggutierrezeizaguirre,grinding-contact-point,0.0625
248,iricondo,grinding-contact-point,0.0
249,jalvarez,grinding-contact-point,0.0
250,pruiz,grinding-contact-point,0.0
251,ubueno,grinding-contact-point,0.0
252,afgomez,grinding-defect-spark,0.0
253,dbarrenetxea,grinding-defect-spark,0.06818181818181818
254,eamilibia,grinding-defect-spark,0.0
255,eurkia,grinding-defect-spark,0.0
256,ggutierrezeizaguirre,grinding-defect-spark,0.0
257,iricondo,grinding-defect-spark,0.0
258,jalvarez,grinding-defect-spark,0.0
259,pruiz,grinding-defect-spark,0.0
260,ubueno,grinding-defect-spark,0.0
261,afgomez,grinding-force-stats,0.5
262,dbarrenetxea,grinding-force-stats,0.06818181818181818
263,eamilibia,grinding-force-stats,0.14285714285714285
264,eurkia,grinding-force-stats,0.0
265,ggutierrezeizaguirre,grinding-force-stats,0.0625
266,iricondo,grinding-force-stats,0.0
267,jalvarez,grinding-force-stats,0.0
268,pruiz,grinding-force-stats,0.0
269,ubueno,grinding-force-stats,0.0
270,afgomez,grinding-material-fed,0.5
271,dbarrenetxea,grinding-material-fed,0.022727272727272728
272,eamilibia,grinding-material-fed,0.0
273,eurkia,grinding-material-fed,0.0
274,ggutierrezeizaguirre,grinding-material-fed,0.0625
275,iricondo,grinding-material-fed,1.0
276,jalvarez,grinding-material-fed,0.0
277,pruiz,grinding-material-fed,0.0
278,ubueno,grinding-material-fed,0.0
279,afgomez,grinding-power-stats,0.0
280,dbarrenetxea,grinding-power-stats,0.5454545454545454
281,eamilibia,grinding-power-stats,0.8571428571428571
282,eurkia,grinding-power-stats,0.0
283,ggutierrezeizaguirre,grinding-power-stats,0.625
284,iricondo,grinding-power-stats,0.0
285,jalvarez,grinding-power-stats,0.0
286,pruiz,grinding-power-stats,0.0
287,ubueno,grinding-power-stats,0.0
288,afgomez,grinding-specific-energy,0.0
289,dbarrenetxea,grinding-specific-energy,0.13636363636363635
290,eamilibia,grinding-specific-energy,0.0
291,eurkia,grinding-specific-energy,0.0
292,ggutierrezeizaguirre,grinding-specific-energy,0.1875
293,iricondo,grinding-specific-energy,0.0
294,jalvarez,grinding-specific-energy,0.0
295,pruiz,grinding-specific-energy,1.0
296,ubueno,grinding-specific-energy,0.0
297,afgomez,grinding-stiffness,0.0
298,dbarrenetxea,grinding-stiffness,0.045454545454545456
299,eamilibia,grinding-stiffness,0.0
300,eurkia,grinding-stiffness,0.0
301,ggutierrezeizaguirre,grinding-stiffness,0.0
302,iricondo,grinding-stiffness,0.0
303,jalvarez,grinding-stiffness,0.0
304,pruiz,grinding-stiffness,0.0
305,ubueno,grinding-stiffness,0.0
