,id,username,subservice_name,value,startdate,context_value,context_name
0,1000,eurkia,LG400A-100648 (RECC06) TX,1.0,1694601316,GeneralResearcher,role
1,1000,eurkia,LG400A-100648 (RECC06) TX,1.0,1694601316,t1,shift
0,1000,eurkia,LG400A-100648 (RECC06) TX,1.0,1694601316,machine_selection,task

2,1001,dbarrenetxea,LG1000 - 100672 IDK,1.0,1695326615,GrindingResearcher,role
3,1001,dbarrenetxea,LG1000 - 100672 IDK,1.0,1695326615,t2,shift
4,1002,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695628873,GeneralResearcher,role
5,1002,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695628873,t1,shift
6,1003,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695633767,GeneralResearcher,role
7,1003,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695633767,t1,shift
8,1004,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695635276,GeneralResearcher,role
9,1004,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695635276,t1,shift
10,1005,ubueno,LG600B6-100636-IDK,1.0,1695634086,GeneralResearcher,role
11,1005,ubueno,LG600B6-100636-IDK,1.0,1695634086,t1,shift
12,1006,ubueno,LG600B6-100636-IDK,1.0,1695710096,GeneralResearcher,role
13,1006,ubueno,LG600B6-100636-IDK,1.0,1695710096,t1,shift
14,1007,dbarrenetxea,110000556 DEC,1.0,1695712669,GrindingResearcher,role
15,1007,dbarrenetxea,110000556 DEC,1.0,1695712669,t1,shift
16,1008,dbarrenetxea,LG600B6-100636-IDK,1.0,1695715725,GrindingResearcher,role
17,1008,dbarrenetxea,LG600B6-100636-IDK,1.0,1695715725,t1,shift
18,1009,ggutierrezeizaguirre,110000556 DEC,1.0,1695713191,GeneralResearcher,role
19,1009,ggutierrezeizaguirre,110000556 DEC,1.0,1695713191,t1,shift
20,1010,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695712935,GeneralResearcher,role
21,1010,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695712935,t1,shift
22,1011,dbarrenetxea,110000556 DEC,1.0,1695719808,GrindingResearcher,role
23,1011,dbarrenetxea,110000556 DEC,1.0,1695719808,t1,shift
24,1012,dbarrenetxea,LG600B6-100636-IDK,1.0,1695730449,GrindingResearcher,role
25,1012,dbarrenetxea,LG600B6-100636-IDK,1.0,1695730449,t1,shift
26,1013,dbarrenetxea,110000556 DEC,1.0,1695974644,GrindingResearcher,role
27,1013,dbarrenetxea,110000556 DEC,1.0,1695974644,t1,shift
28,1014,ggutierrezeizaguirre,110000556 DEC,1.0,1695985929,GeneralResearcher,role
29,1014,ggutierrezeizaguirre,110000556 DEC,1.0,1695985929,t1,shift
30,1015,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695985772,GeneralResearcher,role
31,1015,ggutierrezeizaguirre,LG600B6-100636-IDK,1.0,1695985772,t1,shift
32,1016,dbarrenetxea,110000556 DEC,1.0,1696235962,GrindingResearcher,role
33,1016,dbarrenetxea,110000556 DEC,1.0,1696235962,t1,shift
34,1017,jalvarez,LG600B6-100636-IDK,1.0,1696238941,GrindingResearcher,role
35,1017,jalvarez,LG600B6-100636-IDK,1.0,1696238941,t1,shift
36,1018,iricondo,DM2 Test,1.0,1696243851,GeneralResearcher,role
37,1018,iricondo,DM2 Test,1.0,1696243851,t1,shift
38,1019,iricondo,LG600-B8-110000578 LINAMAR,1.0,1696243844,GeneralResearcher,role
39,1019,iricondo,LG600-B8-110000578 LINAMAR,1.0,1696243844,t1,shift
40,1020,dbarrenetxea,110000556 DEC,1.0,1696252132,GrindingResearcher,role
41,1020,dbarrenetxea,110000556 DEC,1.0,1696252132,t2,shift
42,1021,ggutierrezeizaguirre,110000556 DEC,1.0,1696254549,GeneralResearcher,role
43,1021,ggutierrezeizaguirre,110000556 DEC,1.0,1696254549,t2,shift
44,1022,dbarrenetxea,110000556 DEC,1.0,1696269078,GrindingResearcher,role
45,1022,dbarrenetxea,110000556 DEC,1.0,1696269078,t2,shift
