user,service,value,startDate,id,contextvalue,contextname,type
2qDLEBNv,hazelnut_cappuccino,1.0,1557921970770,0,supervisor,role,INTERACTION
2qDLEBNv,hazelnut_cappuccino,1.0,1557921970770,0,t2,shift,INTERACTION
2qDLEBNv,hazelnut_cappuccino,1.0,1557921970770,0,2,dayofweek,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557921992354,1,supervisor,role,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557921992354,1,t2,shift,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557921992354,1,2,dayofweek,INTERACTION
IQtg13hB,expresso,1.0,1557922622142,2,doctoral student,role,INTERACTION
IQtg13hB,expresso,1.0,1557922622142,2,t2,shift,INTERACTION
IQtg13hB,expresso,1.0,1557922622142,2,2,dayofweek,INTERACTION
5pVcV5V,chocolate,1.0,1557928954537,3,supervisor,role,INTERACTION
5pVcV5V,chocolate,1.0,1557928954537,3,t2,shift,INTERACTION
5pVcV5V,chocolate,1.0,1557928954537,3,2,dayofweek,INTERACTION
jb1CjU1HF,chocolate,1.0,1557929585777,4,supervisor,role,INTERACTION
jb1CjU1HF,chocolate,1.0,1557929585777,4,t2,shift,INTERACTION
jb1CjU1HF,chocolate,1.0,1557929585777,4,2,dayofweek,INTERACTION
Vhpk5shpkk,expresso,1.0,1557930123605,5,associated teacher,role,INTERACTION
Vhpk5shpkk,expresso,1.0,1557930123605,5,t2,shift,INTERACTION
Vhpk5shpkk,expresso,1.0,1557930123605,5,2,dayofweek,INTERACTION
IQtg13hB,expresso,1.0,1557930893916,6,doctoral student,role,INTERACTION
IQtg13hB,expresso,1.0,1557930893916,6,t2,shift,INTERACTION
IQtg13hB,expresso,1.0,1557930893916,6,2,dayofweek,INTERACTION
OJwzAJ33l,chocolate,1.0,1557932620438,7,doctoral student,role,INTERACTION
OJwzAJ33l,chocolate,1.0,1557932620438,7,t2,shift,INTERACTION
OJwzAJ33l,chocolate,1.0,1557932620438,7,2,dayofweek,INTERACTION
jb1CjU1HF,chocolate,1.0,1557941866476,8,supervisor,role,INTERACTION
jb1CjU1HF,chocolate,1.0,1557941866476,8,t2,shift,INTERACTION
jb1CjU1HF,chocolate,1.0,1557941866476,8,2,dayofweek,INTERACTION
FmxgvxmU,milk_coffee,1.0,1557986454593,9,doctoral student,role,INTERACTION
FmxgvxmU,milk_coffee,1.0,1557986454593,9,t1,shift,INTERACTION
FmxgvxmU,milk_coffee,1.0,1557986454593,9,3,dayofweek,INTERACTION
2qDLEBNv,long_coffee,1.0,1557988276919,10,supervisor,role,INTERACTION
2qDLEBNv,long_coffee,1.0,1557988276919,10,t1,shift,INTERACTION
2qDLEBNv,long_coffee,1.0,1557988276919,10,3,dayofweek,INTERACTION
CuAgSlJwl,cortado,1.0,1557988450945,11,doctoral student,role,INTERACTION
CuAgSlJwl,cortado,1.0,1557988450945,11,t1,shift,INTERACTION
CuAgSlJwl,cortado,1.0,1557988450945,11,3,dayofweek,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1557988512758,12,doctoral student,role,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1557988512758,12,t1,shift,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1557988512758,12,3,dayofweek,INTERACTION
5pVcV5V,milk_coffee,1.0,1557988556349,13,supervisor,role,INTERACTION
5pVcV5V,milk_coffee,1.0,1557988556349,13,t1,shift,INTERACTION
5pVcV5V,milk_coffee,1.0,1557988556349,13,3,dayofweek,INTERACTION
5pVcV5V,chocolate,1.0,1557988613013,14,supervisor,role,INTERACTION
5pVcV5V,chocolate,1.0,1557988613013,14,t1,shift,INTERACTION
5pVcV5V,chocolate,1.0,1557988613013,14,3,dayofweek,INTERACTION
IQtg13hB,expresso,1.0,1557988986391,15,doctoral student,role,INTERACTION
IQtg13hB,expresso,1.0,1557988986391,15,t1,shift,INTERACTION
IQtg13hB,expresso,1.0,1557988986391,15,3,dayofweek,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557990143113,16,supervisor,role,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557990143113,16,t1,shift,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557990143113,16,3,dayofweek,INTERACTION
M8TX69h8,milk_coffee,1.0,1557992351253,17,coordinator,role,INTERACTION
M8TX69h8,milk_coffee,1.0,1557992351253,17,t1,shift,INTERACTION
M8TX69h8,milk_coffee,1.0,1557992351253,17,3,dayofweek,INTERACTION
93xlxT,chocolate,1.0,1557992781741,18,doctoral student,role,INTERACTION
93xlxT,chocolate,1.0,1557992781741,18,t1,shift,INTERACTION
93xlxT,chocolate,1.0,1557992781741,18,3,dayofweek,INTERACTION
M8TX69h8,milk_coffee,1.0,1557992862875,19,coordinator,role,INTERACTION
M8TX69h8,milk_coffee,1.0,1557992862875,19,t1,shift,INTERACTION
M8TX69h8,milk_coffee,1.0,1557992862875,19,3,dayofweek,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1557993326048,20,doctoral student,role,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1557993326048,20,t1,shift,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1557993326048,20,3,dayofweek,INTERACTION
IQtg13hB,expresso,1.0,1557993986463,21,doctoral student,role,INTERACTION
IQtg13hB,expresso,1.0,1557993986463,21,t1,shift,INTERACTION
IQtg13hB,expresso,1.0,1557993986463,21,3,dayofweek,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1557994046820,22,administrative,role,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1557994046820,22,t1,shift,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1557994046820,22,3,dayofweek,INTERACTION
M8TX69h8,arabiar tea,1.0,1557994215793,23,coordinator,role,INTERACTION
M8TX69h8,arabiar tea,1.0,1557994215793,23,t1,shift,INTERACTION
M8TX69h8,arabiar tea,1.0,1557994215793,23,3,dayofweek,INTERACTION
Vhpk5shpkk,expresso,1.0,1557995226246,24,associated teacher,role,INTERACTION
Vhpk5shpkk,expresso,1.0,1557995226246,24,t1,shift,INTERACTION
Vhpk5shpkk,expresso,1.0,1557995226246,24,3,dayofweek,INTERACTION
2qDLEBNv,long_coffee,1.0,1557996801672,25,supervisor,role,INTERACTION
2qDLEBNv,long_coffee,1.0,1557996801672,25,t1,shift,INTERACTION
2qDLEBNv,long_coffee,1.0,1557996801672,25,3,dayofweek,INTERACTION
jb1CjU1HF,hazelnut_cappuccino,1.0,1557996831987,26,supervisor,role,INTERACTION
jb1CjU1HF,hazelnut_cappuccino,1.0,1557996831987,26,t1,shift,INTERACTION
jb1CjU1HF,hazelnut_cappuccino,1.0,1557996831987,26,3,dayofweek,INTERACTION
uhDooz5uD,milk_coffee,1.0,1557996885561,27,doctoral student,role,INTERACTION
uhDooz5uD,milk_coffee,1.0,1557996885561,27,t1,shift,INTERACTION
uhDooz5uD,milk_coffee,1.0,1557996885561,27,3,dayofweek,INTERACTION
CCMAqXtVdM,cortado,1.0,1557996948345,28,supervisor,role,INTERACTION
CCMAqXtVdM,cortado,1.0,1557996948345,28,t1,shift,INTERACTION
CCMAqXtVdM,cortado,1.0,1557996948345,28,3,dayofweek,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557997941869,29,supervisor,role,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557997941869,29,t1,shift,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557997941869,29,3,dayofweek,INTERACTION
TRFKSXv,chocolate,1.0,1558004415279,30,associated teacher,role,INTERACTION
TRFKSXv,chocolate,1.0,1558004415279,30,t1,shift,INTERACTION
TRFKSXv,chocolate,1.0,1558004415279,30,3,dayofweek,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558004847024,31,supervisor,role,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558004847024,31,t1,shift,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558004847024,31,3,dayofweek,INTERACTION
2qDLEBNv,hazelnut_cappuccino,1.0,1558004957756,32,supervisor,role,INTERACTION
2qDLEBNv,hazelnut_cappuccino,1.0,1558004957756,32,t1,shift,INTERACTION
2qDLEBNv,hazelnut_cappuccino,1.0,1558004957756,32,3,dayofweek,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558005049662,33,doctoral student,role,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558005049662,33,t1,shift,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558005049662,33,3,dayofweek,INTERACTION
CCMAqXtVdM,cortado,1.0,1558009643986,34,supervisor,role,INTERACTION
CCMAqXtVdM,cortado,1.0,1558009643986,34,t2,shift,INTERACTION
CCMAqXtVdM,cortado,1.0,1558009643986,34,3,dayofweek,INTERACTION
Vhpk5shpkk,expresso,1.0,1558012157602,35,associated teacher,role,INTERACTION
Vhpk5shpkk,expresso,1.0,1558012157602,35,t2,shift,INTERACTION
Vhpk5shpkk,expresso,1.0,1558012157602,35,3,dayofweek,INTERACTION
ymETMF4M4,long_coffee,1.0,1558012344878,36,doctoral student,role,INTERACTION
ymETMF4M4,long_coffee,1.0,1558012344878,36,t2,shift,INTERACTION
ymETMF4M4,long_coffee,1.0,1558012344878,36,3,dayofweek,INTERACTION
55reHHf,milk_coffee,1.0,1558012727151,37,supervisor,role,INTERACTION
55reHHf,milk_coffee,1.0,1558012727151,37,t2,shift,INTERACTION
55reHHf,milk_coffee,1.0,1558012727151,37,3,dayofweek,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558015260730,38,doctoral student,role,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558015260730,38,t2,shift,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558015260730,38,3,dayofweek,INTERACTION
CCMAqXtVdM,cortado,1.0,1558016061976,39,supervisor,role,INTERACTION
CCMAqXtVdM,cortado,1.0,1558016061976,39,t2,shift,INTERACTION
CCMAqXtVdM,cortado,1.0,1558016061976,39,3,dayofweek,INTERACTION
gKUuuzg9,chocolate,1.0,1558019463718,40,doctoral student,role,INTERACTION
gKUuuzg9,chocolate,1.0,1558019463718,40,t2,shift,INTERACTION
gKUuuzg9,chocolate,1.0,1558019463718,40,3,dayofweek,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558019503769,41,doctoral student,role,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558019503769,41,t2,shift,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558019503769,41,3,dayofweek,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558070545845,43,doctoral student,role,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558070545845,43,t1,shift,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558070545845,43,4,dayofweek,INTERACTION
FmxgvxmU,milk_coffee,1.0,1558072645571,44,doctoral student,role,INTERACTION
FmxgvxmU,milk_coffee,1.0,1558072645571,44,t1,shift,INTERACTION
FmxgvxmU,milk_coffee,1.0,1558072645571,44,4,dayofweek,INTERACTION
FmxgvxmU,capuccino decaffeinated,1.0,1558073314451,45,doctoral student,role,INTERACTION
FmxgvxmU,capuccino decaffeinated,1.0,1558073314451,45,t1,shift,INTERACTION
FmxgvxmU,capuccino decaffeinated,1.0,1558073314451,45,4,dayofweek,INTERACTION
CuAgSlJwl,expresso,1.0,1558075165080,46,doctoral student,role,INTERACTION
CuAgSlJwl,expresso,1.0,1558075165080,46,t1,shift,INTERACTION
CuAgSlJwl,expresso,1.0,1558075165080,46,4,dayofweek,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558075227943,47,doctoral student,role,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558075227943,47,t1,shift,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558075227943,47,4,dayofweek,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558075360783,48,doctoral student,role,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558075360783,48,t1,shift,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558075360783,48,4,dayofweek,INTERACTION
gKUuuzg9,chocolate,1.0,1558075426475,49,doctoral student,role,INTERACTION
gKUuuzg9,chocolate,1.0,1558075426475,49,t1,shift,INTERACTION
gKUuuzg9,chocolate,1.0,1558075426475,49,4,dayofweek,INTERACTION
2qDLEBNv,long_coffee,1.0,1558076373825,50,supervisor,role,INTERACTION
2qDLEBNv,long_coffee,1.0,1558076373825,50,t1,shift,INTERACTION
2qDLEBNv,long_coffee,1.0,1558076373825,50,4,dayofweek,INTERACTION
CCMAqXtVdM,cortado,1.0,1558076814492,51,supervisor,role,INTERACTION
CCMAqXtVdM,cortado,1.0,1558076814492,51,t1,shift,INTERACTION
CCMAqXtVdM,cortado,1.0,1558076814492,51,4,dayofweek,INTERACTION
FmxgvxmU,cortado,1.0,1558077975149,52,doctoral student,role,INTERACTION
FmxgvxmU,cortado,1.0,1558077975149,52,t1,shift,INTERACTION
FmxgvxmU,cortado,1.0,1558077975149,52,4,dayofweek,INTERACTION
Vhpk5shpkk,expresso,1.0,1558079463885,53,associated teacher,role,INTERACTION
Vhpk5shpkk,expresso,1.0,1558079463885,53,t1,shift,INTERACTION
Vhpk5shpkk,expresso,1.0,1558079463885,53,4,dayofweek,INTERACTION
IQtg13hB,expresso,1.0,1558080495311,54,doctoral student,role,INTERACTION
IQtg13hB,expresso,1.0,1558080495311,54,t1,shift,INTERACTION
IQtg13hB,expresso,1.0,1558080495311,54,4,dayofweek,INTERACTION
ymETMF4M4,capuccino,1.0,1558081848525,55,doctoral student,role,INTERACTION
ymETMF4M4,capuccino,1.0,1558081848525,55,t1,shift,INTERACTION
ymETMF4M4,capuccino,1.0,1558081848525,55,4,dayofweek,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558083965605,56,administrative,role,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558083965605,56,t1,shift,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558083965605,56,4,dayofweek,INTERACTION
M8TX69h8,milk_coffee,1.0,1558084002107,57,coordinator,role,INTERACTION
M8TX69h8,milk_coffee,1.0,1558084002107,57,t1,shift,INTERACTION
M8TX69h8,milk_coffee,1.0,1558084002107,57,4,dayofweek,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558084233712,58,supervisor,role,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558084233712,58,t1,shift,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558084233712,58,4,dayofweek,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558084271009,59,doctoral student,role,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558084271009,59,t1,shift,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558084271009,59,4,dayofweek,INTERACTION
qpzNDzybrsi,expresso,1.0,1558090952935,60,administrative,role,INTERACTION
qpzNDzybrsi,expresso,1.0,1558090952935,60,t1,shift,INTERACTION
qpzNDzybrsi,expresso,1.0,1558090952935,60,4,dayofweek,INTERACTION
IQtg13hB,expresso,1.0,1558094113030,61,doctoral student,role,INTERACTION
IQtg13hB,expresso,1.0,1558094113030,61,t1,shift,INTERACTION
IQtg13hB,expresso,1.0,1558094113030,61,4,dayofweek,INTERACTION
D6F0qp7s7,cortado,1.0,1558095809945,62,administrative,role,INTERACTION
D6F0qp7s7,cortado,1.0,1558095809945,62,t2,shift,INTERACTION
D6F0qp7s7,cortado,1.0,1558095809945,62,4,dayofweek,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558096549775,63,doctoral student,role,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558096549775,63,t2,shift,INTERACTION
uhDooz5uD,milk_coffee,1.0,1558096549775,63,4,dayofweek,INTERACTION
Vhpk5shpkk,capuccino,1.0,1558101225927,64,associated teacher,role,INTERACTION
Vhpk5shpkk,capuccino,1.0,1558101225927,64,t2,shift,INTERACTION
Vhpk5shpkk,capuccino,1.0,1558101225927,64,4,dayofweek,INTERACTION
ymETMF4M4,capuccino,1.0,1558102183016,65,doctoral student,role,INTERACTION
ymETMF4M4,capuccino,1.0,1558102183016,65,t2,shift,INTERACTION
ymETMF4M4,capuccino,1.0,1558102183016,65,4,dayofweek,INTERACTION
CCMAqXtVdM,cortado,1.0,1558107712810,66,supervisor,role,INTERACTION
CCMAqXtVdM,cortado,1.0,1558107712810,66,t2,shift,INTERACTION
CCMAqXtVdM,cortado,1.0,1558107712810,66,4,dayofweek,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558107867580,67,supervisor,role,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558107867580,67,t2,shift,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558107867580,67,4,dayofweek,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558163908423,68,doctoral student,role,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558163908423,68,t1,shift,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558163908423,68,5,dayofweek,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558258344156,69,doctoral student,role,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558258344156,69,t1,shift,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1558258344156,69,6,dayofweek,INTERACTION
CCMAqXtVdM,cortado,1.0,1558331810561,70,supervisor,role,INTERACTION
CCMAqXtVdM,cortado,1.0,1558331810561,70,t1,shift,INTERACTION
