user,service,value,startDate,id,type
2qDLEBNv,hazelnut_cappuccino,1.0,1557921970770,0,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557921992354,1,INTERACTION
IQtg13hB,expresso,1.0,1557922622142,2,INTERACTION
5pVcV5V,chocolate,1.0,1557928954537,3,INTERACTION
jb1CjU1HF,chocolate,1.0,1557929585777,4,INTERACTION
Vhpk5shpkk,expresso,1.0,1557930123605,5,INTERACTION
IQtg13hB,expresso,1.0,1557930893916,6,INTERACTION
OJwzAJ33l,chocolate,1.0,1557932620438,7,INTERACTION
jb1CjU1HF,chocolate,1.0,1557941866476,8,INTERACTION
FmxgvxmU,milk_coffee,1.0,1557986454593,9,INTERACTION
2qDLEBNv,long_coffee,1.0,1557988276919,10,INTERACTION
CuAgSlJwl,cortado,1.0,1557988450945,11,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1557988512758,12,INTERACTION
5pVcV5V,milk_coffee,1.0,1557988556349,13,INTERACTION
5pVcV5V,chocolate,1.0,1557988613013,14,INTERACTION
IQtg13hB,expresso,1.0,1557988986391,15,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557990143113,16,INTERACTION
M8TX69h8,milk_coffee,1.0,1557992351253,17,INTERACTION
93xlxT,chocolate,1.0,1557992781741,18,INTERACTION
M8TX69h8,milk_coffee,1.0,1557992862875,19,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1557993326048,20,INTERACTION
IQtg13hB,expresso,1.0,1557993986463,21,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1557994046820,22,INTERACTION
M8TX69h8,arabiar tea,1.0,1557994215793,23,INTERACTION
Vhpk5shpkk,expresso,1.0,1557995226246,24,INTERACTION
2qDLEBNv,long_coffee,1.0,1557996801672,25,INTERACTION
jb1CjU1HF,hazelnut_cappuccino,1.0,1557996831987,26,INTERACTION
uhDooz5uD,milk_coffee,1.0,1557996885561,27,INTERACTION
CCMAqXtVdM,cortado,1.0,1557996948345,28,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1557997941869,29,INTERACTION
TRFKSXv,chocolate,1.0,1558004415279,30,INTERACTION
jb1CjU1HF,milk_coffee,1.0,1558004847024,31,INTERACTION
2qDLEBNv,hazelnut_cappuccino,1.0,1558004957756,32,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558005049662,33,INTERACTION
CCMAqXtVdM,cortado,1.0,1558009643986,34,INTERACTION
Vhpk5shpkk,expresso,1.0,1558012157602,35,INTERACTION
ymETMF4M4,long_coffee,1.0,1558012344878,36,INTERACTION
