user,service,value,contextValue,s
2qDLEBNv,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq0
2qDLEBNv,hazelnut_cappuccino,1.0,2,http://ontologies/interactioncontext#interactionseq0
2qDLEBNv,hazelnut_cappuccino,1.0,t2,http://ontologies/interactioncontext#interactionseq0
iia5SP5,hazelnut_cappuccino,1.0,supervisor,http://ontologies/interactioncontext#interactionseq1
iia5SP5,hazelnut_cappuccino,1.0,2,http://ontologies/interactioncontext#interactionseq1
iia5SP5,hazelnut_cappuccino,1.0,t2,http://ontologies/interactioncontext#interactionseq1
2qDLEBNv,long_coffee,1.0,supervisor,http://ontologies/interactioncontext#interactionseq10
2qDLEBNv,long_coffee,1.0,3,http://ontologies/interactioncontext#interactionseq10
2qDLEBNv,long_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq10
uhDooz5uD,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq100
uhDooz5uD,milk_coffee,1.0,0,http://ontologies/interactioncontext#interactionseq100
uhDooz5uD,milk_coffee,1.0,t2,http://ontologies/interactioncontext#interactionseq100
CuAgSlJwl,milk_coffee,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1000
CuAgSlJwl,milk_coffee,1.0,1,http://ontologies/interactioncontext#interactionseq1000
CuAgSlJwl,milk_coffee,1.0,t1,http://ontologies/interactioncontext#interactionseq1000
FmxgvxmU,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1001
FmxgvxmU,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1001
FmxgvxmU,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1001
d4guBrpB,cortado,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1002
d4guBrpB,cortado,1.0,1,http://ontologies/interactioncontext#interactionseq1002
d4guBrpB,cortado,1.0,t1,http://ontologies/interactioncontext#interactionseq1002
93xlxT,chocolate,1.0,doctoral student,http://ontologies/interactioncontext#interactionseq1003
93xlxT,chocolate,1.0,1,http://ontologies/interactioncontext#interactionseq1003
93xlxT,chocolate,1.0,t1,http://ontologies/interactioncontext#interactionseq1003
