,user,service,value
0,0WFqeFiPx3K,arabiar tea,0.0
1,0a4Qn,arabiar tea,-0.32
2,13zpiFiAzJ,arabiar tea,0.0
3,2qDLEBNv,arabiar tea,0.0
4,5pVcV5V,arabiar tea,0.0
5,93xlxT,arabiar tea,0.0
6,CCMAqXtVdM,arabiar tea,0.0
7,CkfZksM2rBrL,arabiar tea,0.0
8,CuAgSlJwl,arabiar tea,0.0
9,D6F0qp7s7,arabiar tea,0.0
10,F96Kv,arabiar tea,0.0
11,FHZemZ,arabiar tea,0.0
12,FmxgvxmU,arabiar tea,0.0
13,I3RXU,arabiar tea,0.0
14,IQtg13hB,arabiar tea,0.0
15,M8TX69h8,arabiar tea,0.037037037037037035
16,OCUnH,arabiar tea,-0.2
17,OJwzAJ33l,arabiar tea,0.0
18,P5BAwzTfB,arabiar tea,0.0
19,TRFKSXv,arabiar tea,0.0
20,Vhpk5shpkk,arabiar tea,0.041666666666666664
21,Yx3rQ,arabiar tea,0.0
22,anH4HDH,arabiar tea,0.0
23,d4guBrpB,arabiar tea,0.0
24,fJlBu,arabiar tea,0.0
25,fa6SQ,arabiar tea,0.0
26,gKUuuzg9,arabiar tea,0.0
27,iia5SP5,arabiar tea,0.0
28,jb1CjU1HF,arabiar tea,0.0
29,oS7WZT0,arabiar tea,0.0
30,qpzNDzybrsi,arabiar tea,0.0
31,sZfLY,arabiar tea,0.0
32,uhDooz5uD,arabiar tea,0.0
33,vRXyI,arabiar tea,0.0
34,ws0cho3,arabiar tea,0.0
35,ymETMF4M4,arabiar tea,0.0
36,0WFqeFiPx3K,capuccino,0.0
37,0a4Qn,capuccino,0.32
38,13zpiFiAzJ,capuccino,0.0
39,2qDLEBNv,capuccino,0.0
40,5pVcV5V,capuccino,0.0
41,93xlxT,capuccino,0.0
42,CCMAqXtVdM,capuccino,0.0
43,CkfZksM2rBrL,capuccino,0.0
44,CuAgSlJwl,capuccino,0.0
45,D6F0qp7s7,capuccino,0.0
46,F96Kv,capuccino,0.0
47,FHZemZ,capuccino,1.0
48,FmxgvxmU,capuccino,0.0
