,user,service,value
0,0WFqeFiPx3K,arabiar tea,0.0
1,0a4Qn,arabiar tea,-0.0030000000000000027
2,13zpiFiAzJ,arabiar tea,0.0
3,2qDLEBNv,arabiar tea,0.0
4,5pVcV5V,arabiar tea,0.0
5,93xlxT,arabiar tea,0.0
6,CCMAqXtVdM,arabiar tea,0.0
7,CkfZksM2rBrL,arabiar tea,0.0
8,CuAgSlJwl,arabiar tea,0.0
9,D6F0qp7s7,arabiar tea,0.0
10,F96Kv,arabiar tea,0.0
11,FHZemZ,arabiar tea,0.0
12,FmxgvxmU,arabiar tea,-0.0030000000000000027
13,I3RXU,arabiar tea,0.0
14,IQtg13hB,arabiar tea,0.0
15,M8TX69h8,arabiar tea,0.02592592592592592
16,OCUnH,arabiar tea,-0.0030000000000000027
17,OJwzAJ33l,arabiar tea,0.0
18,P5BAwzTfB,arabiar tea,0.0
19,TRFKSXv,arabiar tea,0.0
20,Vhpk5shpkk,arabiar tea,0.029166666666666664
21,Yx3rQ,arabiar tea,0.0
22,anH4HDH,arabiar tea,0.0
23,d4guBrpB,arabiar tea,0.0
24,fJlBu,arabiar tea,0.0
25,fa6SQ,arabiar tea,0.0
26,gKUuuzg9,arabiar tea,0.0
27,iia5SP5,arabiar tea,0.0
28,jb1CjU1HF,arabiar tea,0.0
29,larri45h,arabiar tea,0.0
30,oS7WZT0,arabiar tea,0.0
31,qpzNDzybrsi,arabiar tea,0.0
32,sZfLY,arabiar tea,0.0
33,uhDooz5uD,arabiar tea,0.0
34,vRXyI,arabiar tea,0.0
35,ws0cho3,arabiar tea,0.0
36,ymETMF4M4,arabiar tea,0.0
37,0WFqeFiPx3K,capuccino,0.0
38,0a4Qn,capuccino,0.4555555555555555
39,13zpiFiAzJ,capuccino,0.0
40,2qDLEBNv,capuccino,0.0
41,5pVcV5V,capuccino,0.0
42,93xlxT,capuccino,0.0
43,CCMAqXtVdM,capuccino,0.0
44,CkfZksM2rBrL,capuccino,0.0
45,CuAgSlJwl,capuccino,0.0
46,D6F0qp7s7,capuccino,0.0
47,F96Kv,capuccino,0.0
48,FHZemZ,capuccino,0.7
49,FmxgvxmU,capuccino,0.0
50,I3RXU,capuccino,0.0
51,IQtg13hB,capuccino,0.0
52,M8TX69h8,capuccino,0.0
53,OCUnH,capuccino,0.1485
54,OJwzAJ33l,capuccino,0.0
55,P5BAwzTfB,capuccino,0.15
56,TRFKSXv,capuccino,0.0
57,Vhpk5shpkk,capuccino,0.0
58,Yx3rQ,capuccino,0.5625
59,anH4HDH,capuccino,0.7
60,d4guBrpB,capuccino,0.004697986577181208
61,fJlBu,capuccino,0.7666666666666666
62,fa6SQ,capuccino,0.26516666666666666
63,gKUuuzg9,capuccino,0.0
64,iia5SP5,capuccino,0.0
65,jb1CjU1HF,capuccino,0.0
66,larri45h,capuccino,0.0
67,oS7WZT0,capuccino,0.0
68,qpzNDzybrsi,capuccino,0.0
69,sZfLY,capuccino,0.0
70,uhDooz5uD,capuccino,0.0
71,vRXyI,capuccino,-0.0030000000000000027
72,ws0cho3,capuccino,0.0
73,ymETMF4M4,capuccino,0.5035087719298246
74,0WFqeFiPx3K,capuccino decaffeinated,0.7
75,0a4Qn,capuccino decaffeinated,0.0
76,13zpiFiAzJ,capuccino decaffeinated,0.0
77,2qDLEBNv,capuccino decaffeinated,0.0
78,5pVcV5V,capuccino decaffeinated,0.0
79,93xlxT,capuccino decaffeinated,0.0
80,CCMAqXtVdM,capuccino decaffeinated,0.0
81,CkfZksM2rBrL,capuccino decaffeinated,0.0
82,CuAgSlJwl,capuccino decaffeinated,0.0
83,D6F0qp7s7,capuccino decaffeinated,0.0
84,F96Kv,capuccino decaffeinated,0.0
85,FHZemZ,capuccino decaffeinated,0.0
86,FmxgvxmU,capuccino decaffeinated,0.005263157894736841
87,I3RXU,capuccino decaffeinated,0.0
88,IQtg13hB,capuccino decaffeinated,0.0
89,M8TX69h8,capuccino decaffeinated,0.0
90,OCUnH,capuccino decaffeinated,0.0
91,OJwzAJ33l,capuccino decaffeinated,0.0
92,P5BAwzTfB,capuccino decaffeinated,0.049999999999999996
93,TRFKSXv,capuccino decaffeinated,0.0
94,Vhpk5shpkk,capuccino decaffeinated,0.0
95,Yx3rQ,capuccino decaffeinated,0.0
96,anH4HDH,capuccino decaffeinated,0.0
97,d4guBrpB,capuccino decaffeinated,0.0
