,user,service,value
0,0a4Qn,arabiar tea,0.0
1,13zpiFiAzJ,arabiar tea,0.0
2,2qDLEBNv,arabiar tea,0.0
3,55reHHf,arabiar tea,0.0
4,5pVcV5V,arabiar tea,0.0
5,93xlxT,arabiar tea,0.0
6,CCMAqXtVdM,arabiar tea,0.0
7,CkfZksM2rBrL,arabiar tea,0.0
8,CuAgSlJwl,arabiar tea,0.0
9,D6F0qp7s7,arabiar tea,0.0
10,F96Kv,arabiar tea,0.0
11,FHZemZ,arabiar tea,0.0
12,FmxgvxmU,arabiar tea,0.0
13,I3RXU,arabiar tea,0.0
14,IQtg13hB,arabiar tea,0.0
15,M8TX69h8,arabiar tea,0.037037037037037035
16,OCUnH,arabiar tea,0.0
17,OJwzAJ33l,arabiar tea,0.0
18,P5BAwzTfB,arabiar tea,0.0
19,TRFKSXv,arabiar tea,0.0
20,Vhpk5shpkk,arabiar tea,0.041666666666666664
21,Yx3rQ,arabiar tea,0.0
22,anH4HDH,arabiar tea,0.0
23,d4guBrpB,arabiar tea,0.0
24,fJlBu,arabiar tea,0.0
25,fa6SQ,arabiar tea,0.0
26,gKUuuzg9,arabiar tea,0.0
27,iia5SP5,arabiar tea,0.0
28,jb1CjU1HF,arabiar tea,0.0
29,larri45h,arabiar tea,0.0
30,oS7WZT0,arabiar tea,0.0
31,qpzNDzybrsi,arabiar tea,0.0
32,sZfLY,arabiar tea,0.0
33,uhDooz5uD,arabiar tea,0.0
34,vRXyI,arabiar tea,0.0
35,ws0cho3,arabiar tea,0.0
36,ymETMF4M4,arabiar tea,0.0
37,0a4Qn,capuccino,0.3333333333333333
38,13zpiFiAzJ,capuccino,0.0
39,2qDLEBNv,capuccino,0.0
40,55reHHf,capuccino,0.0
41,5pVcV5V,capuccino,0.0
42,93xlxT,capuccino,0.0
43,CCMAqXtVdM,capuccino,0.0
44,CkfZksM2rBrL,capuccino,0.0
45,CuAgSlJwl,capuccino,0.0
46,D6F0qp7s7,capuccino,0.0
47,F96Kv,capuccino,0.0
48,FHZemZ,capuccino,1.0
49,FmxgvxmU,capuccino,0.0
50,I3RXU,capuccino,0.0
51,IQtg13hB,capuccino,0.0
52,M8TX69h8,capuccino,0.0
53,OCUnH,capuccino,0.08333333333333333
54,OJwzAJ33l,capuccino,0.0
55,P5BAwzTfB,capuccino,0.21428571428571427
56,TRFKSXv,capuccino,0.0
57,Vhpk5shpkk,capuccino,0.0
58,Yx3rQ,capuccino,0.6666666666666666
59,anH4HDH,capuccino,0.8333333333333334
60,d4guBrpB,capuccino,0.0
61,fJlBu,capuccino,0.8
62,fa6SQ,capuccino,0.21428571428571427
63,gKUuuzg9,capuccino,0.0
64,iia5SP5,capuccino,0.0
65,jb1CjU1HF,capuccino,0.0
66,larri45h,capuccino,0.0
67,oS7WZT0,capuccino,0.0
68,qpzNDzybrsi,capuccino,0.0
69,sZfLY,capuccino,0.0
70,uhDooz5uD,capuccino,0.0
71,vRXyI,capuccino,0.0
72,ws0cho3,capuccino,0.0
73,ymETMF4M4,capuccino,0.8421052631578947
74,0a4Qn,capuccino decaffeinated,0.0
75,13zpiFiAzJ,capuccino decaffeinated,0.0
76,2qDLEBNv,capuccino decaffeinated,0.0
77,55reHHf,capuccino decaffeinated,0.0
78,5pVcV5V,capuccino decaffeinated,0.0
79,93xlxT,capuccino decaffeinated,0.0
80,CCMAqXtVdM,capuccino decaffeinated,0.0
81,CkfZksM2rBrL,capuccino decaffeinated,0.0
82,CuAgSlJwl,capuccino decaffeinated,0.0
83,D6F0qp7s7,capuccino decaffeinated,0.0
84,F96Kv,capuccino decaffeinated,0.0
85,FHZemZ,capuccino decaffeinated,0.0
86,FmxgvxmU,capuccino decaffeinated,0.008771929824561403
87,I3RXU,capuccino decaffeinated,0.0
88,IQtg13hB,capuccino decaffeinated,0.0
89,M8TX69h8,capuccino decaffeinated,0.0
90,OCUnH,capuccino decaffeinated,0.0
91,OJwzAJ33l,capuccino decaffeinated,0.0
92,P5BAwzTfB,capuccino decaffeinated,0.07142857142857142
93,TRFKSXv,capuccino decaffeinated,0.0
94,Vhpk5shpkk,capuccino decaffeinated,0.0
95,Yx3rQ,capuccino decaffeinated,0.0
96,anH4HDH,capuccino decaffeinated,0.0
97,d4guBrpB,capuccino decaffeinated,0.0
98,fJlBu,capuccino decaffeinated,0.0
99,fa6SQ,capuccino decaffeinated,0.0
100,gKUuuzg9,capuccino decaffeinated,0.0
101,iia5SP5,capuccino decaffeinated,0.0
102,jb1CjU1HF,capuccino decaffeinated,0.0
103,larri45h,capuccino decaffeinated,0.0
104,oS7WZT0,capuccino decaffeinated,0.0
105,qpzNDzybrsi,capuccino decaffeinated,0.0
106,sZfLY,capuccino decaffeinated,0.0
107,uhDooz5uD,capuccino decaffeinated,0.0
108,vRXyI,capuccino decaffeinated,0.0
109,ws0cho3,capuccino decaffeinated,0.0
110,ymETMF4M4,capuccino decaffeinated,0.0
111,0a4Qn,chocolate,0.0
112,13zpiFiAzJ,chocolate,0.0
113,2qDLEBNv,chocolate,0.15254237288135594
114,55reHHf,chocolate,0.0
115,5pVcV5V,chocolate,0.2974683544303797
116,93xlxT,chocolate,0.7627118644067796
117,CCMAqXtVdM,chocolate,0.0
118,CkfZksM2rBrL,chocolate,0.0
119,CuAgSlJwl,chocolate,0.0
120,D6F0qp7s7,chocolate,0.0
121,F96Kv,chocolate,0.0
122,FHZemZ,chocolate,0.0
123,FmxgvxmU,chocolate,0.008771929824561403
124,I3RXU,chocolate,0.0
125,IQtg13hB,chocolate,0.0
126,M8TX69h8,chocolate,0.0
127,OCUnH,chocolate,0.0
128,OJwzAJ33l,chocolate,0.0
129,P5BAwzTfB,chocolate,0.0
130,TRFKSXv,chocolate,1.0
131,Vhpk5shpkk,chocolate,0.0
132,Yx3rQ,chocolate,0.0
133,anH4HDH,chocolate,0.0
134,d4guBrpB,chocolate,0.0
135,fJlBu,chocolate,0.0
136,fa6SQ,chocolate,0.0
137,gKUuuzg9,chocolate,0.18421052631578946
138,iia5SP5,chocolate,0.0
139,jb1CjU1HF,chocolate,0.25
140,larri45h,chocolate,0.0
141,oS7WZT0,chocolate,0.0
142,qpzNDzybrsi,chocolate,0.0
143,sZfLY,chocolate,0.0
144,uhDooz5uD,chocolate,0.0
145,vRXyI,chocolate,0.0
146,ws0cho3,chocolate,0.0
147,ymETMF4M4,chocolate,0.0
148,0a4Qn,chocolate_milk,0.0
149,13zpiFiAzJ,chocolate_milk,0.0
150,2qDLEBNv,chocolate_milk,0.0
151,55reHHf,chocolate_milk,0.0
152,5pVcV5V,chocolate_milk,0.0
153,93xlxT,chocolate_milk,0.0
154,CCMAqXtVdM,chocolate_milk,0.0
155,CkfZksM2rBrL,chocolate_milk,0.0
156,CuAgSlJwl,chocolate_milk,0.0
157,D6F0qp7s7,chocolate_milk,0.0
158,F96Kv,chocolate_milk,0.0
159,FHZemZ,chocolate_milk,0.0
160,FmxgvxmU,chocolate_milk,0.0
161,I3RXU,chocolate_milk,0.0
162,IQtg13hB,chocolate_milk,0.0
163,M8TX69h8,chocolate_milk,0.0
164,OCUnH,chocolate_milk,0.0
165,OJwzAJ33l,chocolate_milk,0.0
166,P5BAwzTfB,chocolate_milk,0.0
167,TRFKSXv,chocolate_milk,0.0
168,Vhpk5shpkk,chocolate_milk,0.0
169,Yx3rQ,chocolate_milk,0.0
170,anH4HDH,chocolate_milk,0.0
171,d4guBrpB,chocolate_milk,0.0
172,fJlBu,chocolate_milk,0.0
173,fa6SQ,chocolate_milk,0.0
174,gKUuuzg9,chocolate_milk,0.0
175,iia5SP5,chocolate_milk,0.13333333333333333
176,jb1CjU1HF,chocolate_milk,0.0
177,larri45h,chocolate_milk,0.0
178,oS7WZT0,chocolate_milk,0.0
179,qpzNDzybrsi,chocolate_milk,0.0
180,sZfLY,chocolate_milk,0.0
181,uhDooz5uD,chocolate_milk,0.0
182,vRXyI,chocolate_milk,0.0
183,ws0cho3,chocolate_milk,0.0
184,ymETMF4M4,chocolate_milk,0.0
185,0a4Qn,cortado,0.08333333333333333
186,13zpiFiAzJ,cortado,0.0
187,2qDLEBNv,cortado,0.0
188,55reHHf,cortado,0.0
189,5pVcV5V,cortado,0.0
190,93xlxT,cortado,0.0
191,CCMAqXtVdM,cortado,1.0
192,CkfZksM2rBrL,cortado,1.0
193,CuAgSlJwl,cortado,0.18791946308724833
194,D6F0qp7s7,cortado,0.42424242424242425
195,F96Kv,cortado,0.0
196,FHZemZ,cortado,0.0
197,FmxgvxmU,cortado,0.8771929824561403
198,I3RXU,cortado,0.0
199,IQtg13hB,cortado,0.0
200,M8TX69h8,cortado,0.0
201,OCUnH,cortado,0.08333333333333333
202,OJwzAJ33l,cortado,0.0
203,P5BAwzTfB,cortado,0.0
204,TRFKSXv,cortado,0.0
205,Vhpk5shpkk,cortado,0.0
206,Yx3rQ,cortado,0.1111111111111111
207,anH4HDH,cortado,0.0
208,d4guBrpB,cortado,0.7058823529411765
209,fJlBu,cortado,0.2
210,fa6SQ,cortado,0.0
211,gKUuuzg9,cortado,0.0
212,iia5SP5,cortado,0.0
213,jb1CjU1HF,cortado,0.0
214,larri45h,cortado,0.0
215,oS7WZT0,cortado,0.0
216,qpzNDzybrsi,cortado,0.0
217,sZfLY,cortado,0.0
218,uhDooz5uD,cortado,0.0
219,vRXyI,cortado,0.0
220,ws0cho3,cortado,0.0
221,ymETMF4M4,cortado,0.0
222,0a4Qn,cortado decaffeinated,0.08333333333333333
223,13zpiFiAzJ,cortado decaffeinated,0.0
224,2qDLEBNv,cortado decaffeinated,0.0
225,55reHHf,cortado decaffeinated,0.0
226,5pVcV5V,cortado decaffeinated,0.0
227,93xlxT,cortado decaffeinated,0.23728813559322035
228,CCMAqXtVdM,cortado decaffeinated,0.0
229,CkfZksM2rBrL,cortado decaffeinated,0.0
230,CuAgSlJwl,cortado decaffeinated,0.0
231,D6F0qp7s7,cortado decaffeinated,0.0
232,F96Kv,cortado decaffeinated,0.0
233,FHZemZ,cortado decaffeinated,0.0
234,FmxgvxmU,cortado decaffeinated,0.0
235,I3RXU,cortado decaffeinated,0.0
236,IQtg13hB,cortado decaffeinated,0.0
237,M8TX69h8,cortado decaffeinated,0.0
238,OCUnH,cortado decaffeinated,0.0
239,OJwzAJ33l,cortado decaffeinated,0.0
240,P5BAwzTfB,cortado decaffeinated,0.0
241,TRFKSXv,cortado decaffeinated,0.0
242,Vhpk5shpkk,cortado decaffeinated,0.0
243,Yx3rQ,cortado decaffeinated,0.0
244,anH4HDH,cortado decaffeinated,0.0
245,d4guBrpB,cortado decaffeinated,0.29411764705882354
246,fJlBu,cortado decaffeinated,0.0
247,fa6SQ,cortado decaffeinated,0.0
248,gKUuuzg9,cortado decaffeinated,0.0
249,iia5SP5,cortado decaffeinated,0.0
250,jb1CjU1HF,cortado decaffeinated,0.0
251,larri45h,cortado decaffeinated,0.0
252,oS7WZT0,cortado decaffeinated,0.0
253,qpzNDzybrsi,cortado decaffeinated,0.0
254,sZfLY,cortado decaffeinated,0.0
255,uhDooz5uD,cortado decaffeinated,0.0
256,vRXyI,cortado decaffeinated,0.0
257,ws0cho3,cortado decaffeinated,0.0
258,ymETMF4M4,cortado decaffeinated,0.0
259,0a4Qn,decaffeinated,0.0
260,13zpiFiAzJ,decaffeinated,0.0
261,2qDLEBNv,decaffeinated,0.0
262,55reHHf,decaffeinated,0.0
263,5pVcV5V,decaffeinated,0.0
