,user,service,value
0,0a4Qn,arabiar tea,-0.0030000000000000027
1,13zpiFiAzJ,arabiar tea,0.0
2,2qDLEBNv,arabiar tea,0.0
3,55reHHf,arabiar tea,0.0
4,5pVcV5V,arabiar tea,0.0
5,93xlxT,arabiar tea,0.0
6,CCMAqXtVdM,arabiar tea,0.0
7,CkfZksM2rBrL,arabiar tea,0.0
8,CuAgSlJwl,arabiar tea,0.0
9,D6F0qp7s7,arabiar tea,0.0
10,F96Kv,arabiar tea,0.0
11,FHZemZ,arabiar tea,0.0
12,FmxgvxmU,arabiar tea,-0.0030000000000000027
13,I3RXU,arabiar tea,0.0
14,IQtg13hB,arabiar tea,0.0
15,M8TX69h8,arabiar tea,0.02592592592592592
16,OCUnH,arabiar tea,-0.0030000000000000027
17,OJwzAJ33l,arabiar tea,0.0
18,P5BAwzTfB,arabiar tea,0.0
19,TRFKSXv,arabiar tea,0.0
20,Vhpk5shpkk,arabiar tea,0.029166666666666664
21,XIRWj,arabiar tea,0.0
22,Yx3rQ,arabiar tea,0.0
23,anH4HDH,arabiar tea,0.0
24,d4guBrpB,arabiar tea,0.0
25,fJlBu,arabiar tea,0.0
26,fa6SQ,arabiar tea,0.0
27,gKUuuzg9,arabiar tea,0.0
28,iia5SP5,arabiar tea,0.0
29,jb1CjU1HF,arabiar tea,0.0
30,larri45h,arabiar tea,0.0
31,oS7WZT0,arabiar tea,0.0
32,qpzNDzybrsi,arabiar tea,0.0
33,sZfLY,arabiar tea,0.0
34,uhDooz5uD,arabiar tea,0.0
35,vRXyI,arabiar tea,0.0
36,ws0cho3,arabiar tea,0.0
37,ymETMF4M4,arabiar tea,0.0
38,0a4Qn,capuccino,0.475
39,13zpiFiAzJ,capuccino,0.0
40,2qDLEBNv,capuccino,0.0
41,55reHHf,capuccino,0.0
42,5pVcV5V,capuccino,0.0
43,93xlxT,capuccino,0.0
44,CCMAqXtVdM,capuccino,0.0
45,CkfZksM2rBrL,capuccino,0.0
46,CuAgSlJwl,capuccino,0.0
47,D6F0qp7s7,capuccino,0.0
48,F96Kv,capuccino,0.0
49,FHZemZ,capuccino,0.7
50,FmxgvxmU,capuccino,0.0
51,I3RXU,capuccino,0.0
52,IQtg13hB,capuccino,0.0
53,M8TX69h8,capuccino,0.0
54,OCUnH,capuccino,0.1485
55,OJwzAJ33l,capuccino,0.0
56,P5BAwzTfB,capuccino,0.15
57,TRFKSXv,capuccino,0.0
58,Vhpk5shpkk,capuccino,0.0
59,XIRWj,capuccino,0.0
60,Yx3rQ,capuccino,0.6499999999999999
61,anH4HDH,capuccino,0.5833333333333334
62,d4guBrpB,capuccino,0.0
63,fJlBu,capuccino,1.0
64,fa6SQ,capuccino,0.26516666666666666
65,gKUuuzg9,capuccino,0.0
66,iia5SP5,capuccino,0.0
67,jb1CjU1HF,capuccino,0.0
68,larri45h,capuccino,0.0
69,oS7WZT0,capuccino,0.0
70,qpzNDzybrsi,capuccino,0.0
71,sZfLY,capuccino,0.0
72,uhDooz5uD,capuccino,0.0
73,vRXyI,capuccino,-0.0030000000000000027
74,ws0cho3,capuccino,0.0
75,ymETMF4M4,capuccino,0.5894736842105263
76,0a4Qn,capuccino decaffeinated,0.0
77,13zpiFiAzJ,capuccino decaffeinated,0.0
78,2qDLEBNv,capuccino decaffeinated,0.0
79,55reHHf,capuccino decaffeinated,0.0
80,5pVcV5V,capuccino decaffeinated,0.0
81,93xlxT,capuccino decaffeinated,0.0
82,CCMAqXtVdM,capuccino decaffeinated,0.0
83,CkfZksM2rBrL,capuccino decaffeinated,0.0
84,CuAgSlJwl,capuccino decaffeinated,0.0
85,D6F0qp7s7,capuccino decaffeinated,0.0
86,F96Kv,capuccino decaffeinated,0.0
87,FHZemZ,capuccino decaffeinated,0.0
88,FmxgvxmU,capuccino decaffeinated,0.006140350877192982
89,I3RXU,capuccino decaffeinated,0.0
90,IQtg13hB,capuccino decaffeinated,0.0
91,M8TX69h8,capuccino decaffeinated,0.0
92,OCUnH,capuccino decaffeinated,0.0
93,OJwzAJ33l,capuccino decaffeinated,0.0
94,P5BAwzTfB,capuccino decaffeinated,0.049999999999999996
95,TRFKSXv,capuccino decaffeinated,0.0
96,Vhpk5shpkk,capuccino decaffeinated,0.0
97,XIRWj,capuccino decaffeinated,0.0
98,Yx3rQ,capuccino decaffeinated,0.0
99,anH4HDH,capuccino decaffeinated,0.0
100,d4guBrpB,capuccino decaffeinated,0.0
101,fJlBu,capuccino decaffeinated,0.0
102,fa6SQ,capuccino decaffeinated,0.0
103,gKUuuzg9,capuccino decaffeinated,0.0
104,iia5SP5,capuccino decaffeinated,0.0
105,jb1CjU1HF,capuccino decaffeinated,0.0
106,larri45h,capuccino decaffeinated,0.0
107,oS7WZT0,capuccino decaffeinated,0.0
108,qpzNDzybrsi,capuccino decaffeinated,0.0
109,sZfLY,capuccino decaffeinated,0.0
110,uhDooz5uD,capuccino decaffeinated,0.0
111,vRXyI,capuccino decaffeinated,0.0
112,ws0cho3,capuccino decaffeinated,0.0
113,ymETMF4M4,capuccino decaffeinated,0.0
114,0a4Qn,chocolate,0.0
115,13zpiFiAzJ,chocolate,0.0
116,2qDLEBNv,chocolate,0.10677966101694915
117,55reHHf,chocolate,0.0
118,5pVcV5V,chocolate,0.2082278481012658
119,93xlxT,chocolate,0.5338983050847457
120,CCMAqXtVdM,chocolate,0.0
121,CkfZksM2rBrL,chocolate,0.0
122,CuAgSlJwl,chocolate,0.0
123,D6F0qp7s7,chocolate,0.0
124,F96Kv,chocolate,0.0
125,FHZemZ,chocolate,0.0
126,FmxgvxmU,chocolate,0.006140350877192982
127,I3RXU,chocolate,0.0
128,IQtg13hB,chocolate,0.0
129,M8TX69h8,chocolate,0.0
130,OCUnH,chocolate,0.0
131,OJwzAJ33l,chocolate,0.0
132,P5BAwzTfB,chocolate,0.0
133,TRFKSXv,chocolate,0.7
134,Vhpk5shpkk,chocolate,0.0
135,XIRWj,chocolate,0.0
136,Yx3rQ,chocolate,-0.0030000000000000027
137,anH4HDH,chocolate,0.0
138,d4guBrpB,chocolate,0.0
139,fJlBu,chocolate,0.0
140,fa6SQ,chocolate,0.0
141,gKUuuzg9,chocolate,0.12894736842105262
142,iia5SP5,chocolate,0.0
143,jb1CjU1HF,chocolate,0.175
144,larri45h,chocolate,0.0
145,oS7WZT0,chocolate,0.0
146,qpzNDzybrsi,chocolate,0.0
147,sZfLY,chocolate,0.0
148,uhDooz5uD,chocolate,0.0
149,vRXyI,chocolate,0.0
150,ws0cho3,chocolate,0.0
151,ymETMF4M4,chocolate,0.0
152,0a4Qn,chocolate_milk,0.0
153,13zpiFiAzJ,chocolate_milk,0.0
154,2qDLEBNv,chocolate_milk,0.0
155,55reHHf,chocolate_milk,0.0
156,5pVcV5V,chocolate_milk,0.0
157,93xlxT,chocolate_milk,0.0
158,CCMAqXtVdM,chocolate_milk,0.0
159,CkfZksM2rBrL,chocolate_milk,0.0
160,CuAgSlJwl,chocolate_milk,0.0
161,D6F0qp7s7,chocolate_milk,0.0
162,F96Kv,chocolate_milk,0.0
163,FHZemZ,chocolate_milk,0.0
164,FmxgvxmU,chocolate_milk,0.0
165,I3RXU,chocolate_milk,0.0
166,IQtg13hB,chocolate_milk,0.0
167,M8TX69h8,chocolate_milk,0.0
168,OCUnH,chocolate_milk,0.0
169,OJwzAJ33l,chocolate_milk,0.0
170,P5BAwzTfB,chocolate_milk,0.0
171,TRFKSXv,chocolate_milk,0.0
172,Vhpk5shpkk,chocolate_milk,0.0
173,XIRWj,chocolate_milk,0.0
174,Yx3rQ,chocolate_milk,0.0
175,anH4HDH,chocolate_milk,0.0
176,d4guBrpB,chocolate_milk,0.0
177,fJlBu,chocolate_milk,0.0
178,fa6SQ,chocolate_milk,0.0
179,gKUuuzg9,chocolate_milk,0.0
180,iia5SP5,chocolate_milk,0.09333333333333332
181,jb1CjU1HF,chocolate_milk,0.0
182,larri45h,chocolate_milk,0.0
183,oS7WZT0,chocolate_milk,0.0
184,qpzNDzybrsi,chocolate_milk,0.0
185,sZfLY,chocolate_milk,0.0
186,uhDooz5uD,chocolate_milk,0.0
187,vRXyI,chocolate_milk,0.0
188,ws0cho3,chocolate_milk,0.0
189,ymETMF4M4,chocolate_milk,0.0
190,0a4Qn,cortado,0.1485
191,13zpiFiAzJ,cortado,0.0
