,user,service,value
0,0WFqeFiPx3K,arabiar tea,0.0
1,0a4Qn,arabiar tea,-0.003
2,13zpiFiAzJ,arabiar tea,0.0
3,2qDLEBNv,arabiar tea,0.0
4,55reHHf,arabiar tea,0.0
5,5pVcV5V,arabiar tea,0.0
6,93xlxT,arabiar tea,0.0
7,CCMAqXtVdM,arabiar tea,0.0
8,CkfZksM2rBrL,arabiar tea,0.0
9,CuAgSlJwl,arabiar tea,-0.003
10,D6F0qp7s7,arabiar tea,0.0
11,F96Kv,arabiar tea,0.0
12,FHZemZ,arabiar tea,0.0
13,FmxgvxmU,arabiar tea,-0.003
14,I3RXU,arabiar tea,0.0
15,IQtg13hB,arabiar tea,0.0
16,M8TX69h8,arabiar tea,0.02413793103448276
17,OCUnH,arabiar tea,-0.003
18,OJwzAJ33l,arabiar tea,0.0
19,P5BAwzTfB,arabiar tea,0.0
20,TRFKSXv,arabiar tea,0.0
21,Vhpk5shpkk,arabiar tea,0.055999999999999994
22,XIRWj,arabiar tea,0.0
23,Yx3rQ,arabiar tea,0.0
24,anH4HDH,arabiar tea,0.0
25,d4guBrpB,arabiar tea,0.0
26,fJlBu,arabiar tea,0.0
27,fa6SQ,arabiar tea,0.0
28,gKUuuzg9,arabiar tea,0.0
29,ieuWQ,arabiar tea,0.0
30,iia5SP5,arabiar tea,0.0
31,jb1CjU1HF,arabiar tea,0.0
32,larri45h,arabiar tea,0.0
33,oS7WZT0,arabiar tea,0.0
34,qpzNDzybrsi,arabiar tea,0.0
35,sZfLY,arabiar tea,0.0
36,uhDooz5uD,arabiar tea,0.0
37,vRXyI,arabiar tea,0.0
38,ws0cho3,arabiar tea,0.0
39,ymETMF4M4,arabiar tea,0.0
40,0WFqeFiPx3K,capuccino,0.0
41,0a4Qn,capuccino,0.43999999999999995
42,13zpiFiAzJ,capuccino,0.0
43,2qDLEBNv,capuccino,0.0
44,55reHHf,capuccino,0.0
45,5pVcV5V,capuccino,0.0
46,93xlxT,capuccino,0.0
47,CCMAqXtVdM,capuccino,0.0
48,CkfZksM2rBrL,capuccino,0.0
49,CuAgSlJwl,capuccino,0.0
50,D6F0qp7s7,capuccino,0.0
51,F96Kv,capuccino,0.0
52,FHZemZ,capuccino,0.6
53,FmxgvxmU,capuccino,0.0
54,I3RXU,capuccino,0.0
55,IQtg13hB,capuccino,0.0
56,M8TX69h8,capuccino,0.0
57,OCUnH,capuccino,0.1485
58,OJwzAJ33l,capuccino,0.0
59,P5BAwzTfB,capuccino,0.12352941176470589
60,TRFKSXv,capuccino,0.0
61,Vhpk5shpkk,capuccino,0.027999999999999997
62,XIRWj,capuccino,0.0
63,Yx3rQ,capuccino,0.5333333333333333
64,anH4HDH,capuccino,0.5249999999999999
65,d4guBrpB,capuccino,0.007142857142857142
66,fJlBu,capuccino,0.6499999999999999
67,fa6SQ,capuccino,0.26516666666666666
68,gKUuuzg9,capuccino,0.0
69,ieuWQ,capuccino,0.0
70,iia5SP5,capuccino,0.0
71,jb1CjU1HF,capuccino,0.0
72,larri45h,capuccino,0.0
73,oS7WZT0,capuccino,0.0
74,qpzNDzybrsi,capuccino,0.0
75,sZfLY,capuccino,0.0
76,uhDooz5uD,capuccino,0.0
77,vRXyI,capuccino,-0.003
78,ws0cho3,capuccino,0.0
79,ymETMF4M4,capuccino,0.4605263157894737
80,0WFqeFiPx3K,capuccino decaffeinated,0.7
81,0a4Qn,capuccino decaffeinated,0.0
82,13zpiFiAzJ,capuccino decaffeinated,0.0
83,2qDLEBNv,capuccino decaffeinated,0.0
84,55reHHf,capuccino decaffeinated,0.0
85,5pVcV5V,capuccino decaffeinated,0.0
86,93xlxT,capuccino decaffeinated,0.0
87,CCMAqXtVdM,capuccino decaffeinated,0.0
88,CkfZksM2rBrL,capuccino decaffeinated,0.0
89,CuAgSlJwl,capuccino decaffeinated,0.0
90,D6F0qp7s7,capuccino decaffeinated,0.0
91,F96Kv,capuccino decaffeinated,0.0
92,FHZemZ,capuccino decaffeinated,0.0
93,FmxgvxmU,capuccino decaffeinated,0.004605263157894736
94,I3RXU,capuccino decaffeinated,0.0
95,IQtg13hB,capuccino decaffeinated,0.0
96,M8TX69h8,capuccino decaffeinated,0.0
97,OCUnH,capuccino decaffeinated,0.0
98,OJwzAJ33l,capuccino decaffeinated,0.0
99,P5BAwzTfB,capuccino decaffeinated,0.041176470588235294
100,TRFKSXv,capuccino decaffeinated,0.0
101,Vhpk5shpkk,capuccino decaffeinated,0.013999999999999999
102,XIRWj,capuccino decaffeinated,0.0
103,Yx3rQ,capuccino decaffeinated,0.0
104,anH4HDH,capuccino decaffeinated,0.0
105,d4guBrpB,capuccino decaffeinated,0.0
106,fJlBu,capuccino decaffeinated,0.0
107,fa6SQ,capuccino decaffeinated,0.0
108,gKUuuzg9,capuccino decaffeinated,0.0
109,ieuWQ,capuccino decaffeinated,0.7
110,iia5SP5,capuccino decaffeinated,0.0
111,jb1CjU1HF,capuccino decaffeinated,0.0
112,larri45h,capuccino decaffeinated,0.0
113,oS7WZT0,capuccino decaffeinated,0.0
114,qpzNDzybrsi,capuccino decaffeinated,0.0
115,sZfLY,capuccino decaffeinated,0.0
116,uhDooz5uD,capuccino decaffeinated,0.0
117,vRXyI,capuccino decaffeinated,0.0
118,ws0cho3,capuccino decaffeinated,0.0
119,ymETMF4M4,capuccino decaffeinated,0.0
120,0WFqeFiPx3K,chocolate,0.0
121,0a4Qn,chocolate,0.0
122,13zpiFiAzJ,chocolate,0.0
123,2qDLEBNv,chocolate,0.109375
124,55reHHf,chocolate,0.0
125,5pVcV5V,chocolate,0.22126436781609193
126,93xlxT,chocolate,0.5220338983050847
127,CCMAqXtVdM,chocolate,0.0
128,CkfZksM2rBrL,chocolate,0.0
129,CuAgSlJwl,chocolate,0.0
130,D6F0qp7s7,chocolate,0.0
131,F96Kv,chocolate,0.0
132,FHZemZ,chocolate,0.0
133,FmxgvxmU,chocolate,0.009210526315789473
134,I3RXU,chocolate,0.0
135,IQtg13hB,chocolate,0.0
136,M8TX69h8,chocolate,0.0
137,OCUnH,chocolate,0.0
138,OJwzAJ33l,chocolate,0.09333333333333332
139,P5BAwzTfB,chocolate,0.0
140,TRFKSXv,chocolate,0.5249999999999999
141,Vhpk5shpkk,chocolate,0.0
142,XIRWj,chocolate,0.0
143,Yx3rQ,chocolate,-0.003
144,anH4HDH,chocolate,0.0
145,d4guBrpB,chocolate,0.0
146,fJlBu,chocolate,0.0
147,fa6SQ,chocolate,0.0
148,gKUuuzg9,chocolate,0.13012820512820514
149,ieuWQ,chocolate,0.0
150,iia5SP5,chocolate,0.0
151,jb1CjU1HF,chocolate,0.2333333333333333
152,larri45h,chocolate,0.0
153,oS7WZT0,chocolate,0.0
154,qpzNDzybrsi,chocolate,0.0
