,user,service,sum
0,0WFqeFiPx3K,capuccino decaffeinated,1.0
1,0a4Qn,arabiar tea,-4.0
2,0a4Qn,capuccino,4.0
3,0a4Qn,cortado,1.0
4,0a4Qn,cortado decaffeinated,1.0
5,0a4Qn,expresso,-4.0
6,0a4Qn,long_coffee,-2.0
7,0a4Qn,long_decaffeinated,-2.0
8,0a4Qn,milk_coffee,6.0
9,0a4Qn,milk_coffee kafeinagabe,0.5
10,0a4Qn,txokolate white,0.0
11,13zpiFiAzJ,expresso,2.0
12,2qDLEBNv,chocolate,4.0
13,2qDLEBNv,expresso,3.0
14,2qDLEBNv,hazelnut_cappuccino,2.0
15,2qDLEBNv,long_coffee,15.0
16,2qDLEBNv,milk_coffee,3.0
17,5pVcV5V,chocolate,39.0
18,5pVcV5V,hazelnut_cappuccino,101.0
19,5pVcV5V,milk_coffee,2.0
20,93xlxT,chocolate,133.0
21,93xlxT,cortado decaffeinated,41.0
22,93xlxT,expresso,1.0
23,93xlxT,hazelnut_cappuccino,2.0
24,CCMAqXtVdM,cortado,8.0
25,CkfZksM2rBrL,cortado,9.0
26,CuAgSlJwl,cortado,56.0
27,CuAgSlJwl,expresso,2.0
28,CuAgSlJwl,milk_coffee,248.0
29,D6F0qp7s7,cortado,28.0
30,D6F0qp7s7,milk_coffee,38.0
31,F96Kv,hazelnut_cappuccino,1.0
32,F96Kv,long_decaffeinated,-2.0
33,F96Kv,milk_coffee,4.0
34,FHZemZ,capuccino,4.0
35,FmxgvxmU,capuccino decaffeinated,2.0
36,FmxgvxmU,chocolate,3.0
37,FmxgvxmU,cortado,233.0
38,FmxgvxmU,cortado decaffeinated,1.0
39,FmxgvxmU,decaffeinated,2.0
40,FmxgvxmU,expresso,14.0
41,FmxgvxmU,light_coffee,1.0
42,FmxgvxmU,milk_coffee,10.0
43,I3RXU,cortado,-2.0
44,I3RXU,milk_coffee,12.0
45,IQtg13hB,expresso,71.0
46,M8TX69h8,arabiar tea,1.0
47,M8TX69h8,milk_coffee,26.0
48,OCUnH,arabiar tea,-2.0
49,OCUnH,capuccino,-1.0
50,OCUnH,chocolate_milk,1.0
51,OCUnH,cortado,-8.0
52,OCUnH,decaffeinated,-2.0
53,OCUnH,expresso,8.0
54,OCUnH,hazelnut_cappuccino,-2.0
55,OCUnH,light_coffee,-2.0
56,OCUnH,long_coffee,-2.0
57,OCUnH,long_decaffeinated,-1.0
58,OCUnH,milk_coffee,1.0
59,OJwzAJ33l,chocolate,2.0
60,OJwzAJ33l,expresso,4.0
61,OJwzAJ33l,long_coffee,20.0
62,P5BAwzTfB,capuccino,3.0
63,P5BAwzTfB,capuccino decaffeinated,1.0
64,P5BAwzTfB,hazelnut_cappuccino,9.0
65,P5BAwzTfB,txokolate white,1.0
66,TRFKSXv,chocolate,3.0
67,Vhpk5shpkk,arabiar tea,1.0
68,Vhpk5shpkk,decaffeinated,17.0
69,Vhpk5shpkk,expresso,5.0
70,Vhpk5shpkk,milk_coffee kafeinagabe,1.0
71,Yx3rQ,capuccino,7.0
72,Yx3rQ,chocolate,-2.0
73,Yx3rQ,cortado,0.5
74,Yx3rQ,cortado decaffeinated,-2.0
75,Yx3rQ,decaffeinated,-1.0
76,Yx3rQ,hazelnut_cappuccino,0.5
77,Yx3rQ,long_coffee,6.0
78,anH4HDH,capuccino,4.0
79,d4guBrpB,capuccino,1.0
80,d4guBrpB,cortado,103.0
81,d4guBrpB,cortado decaffeinated,43.0
82,d4guBrpB,expresso,2.0
83,fJlBu,capuccino,4.0
84,fJlBu,cortado,1.0
85,fJlBu,milk_coffee,1.0
86,fJlBu,txokolate white,-6.0
87,fa6SQ,capuccino,1.5
88,fa6SQ,decaffeinated,-2.0
89,fa6SQ,hazelnut_cappuccino,3.0
90,fa6SQ,milk_coffee,2.5
91,gKUuuzg9,chocolate,57.0
92,gKUuuzg9,light_coffee,2.0
93,gKUuuzg9,milk_coffee,249.0
94,iia5SP5,chocolate_milk,1.0
95,iia5SP5,hazelnut_cappuccino,6.0
96,jb1CjU1HF,chocolate,1.0
97,jb1CjU1HF,hazelnut_cappuccino,1.0
98,jb1CjU1HF,milk_coffee,8.0
99,oS7WZT0,milk_coffee,22.0
100,qpzNDzybrsi,expresso,16.0
101,sZfLY,expresso,2.0
102,uhDooz5uD,expresso,2.0
103,uhDooz5uD,milk_coffee,25.0
104,vRXyI,capuccino,-2.0
105,vRXyI,expresso,1.0
106,vRXyI,long_coffee,6.0
107,vRXyI,milk_coffee,-2.0
108,ws0cho3,cortado,0.5
109,ws0cho3,decaffeinated,-2.0
110,ws0cho3,expresso,3.0
111,ws0cho3,hazelnut_cappuccino,0.0
112,ws0cho3,milk_coffee,0.5
113,ymETMF4M4,capuccino,41.0
114,ymETMF4M4,decaffeinated,2.0
115,ymETMF4M4,long_coffee,10.0
116,ymETMF4M4,long_decaffeinated,4.0
