,user,service,sum
0,0a4Qn,arabiar tea,0.0
1,0a4Qn,capuccino,2.0
2,0a4Qn,cortado,0.5
3,0a4Qn,cortado decaffeinated,0.5
4,0a4Qn,long_coffee,0.0
5,0a4Qn,milk_coffee,3.0
6,0a4Qn,txokolate white,0.0
7,13zpiFiAzJ,expresso,2.0
8,2qDLEBNv,chocolate,9.0
9,2qDLEBNv,expresso,6.0
10,2qDLEBNv,hazelnut_cappuccino,5.0
11,2qDLEBNv,long_coffee,32.0
12,2qDLEBNv,milk_coffee,7.0
13,55reHHf,milk_coffee,1.0
14,5pVcV5V,chocolate,94.0
15,5pVcV5V,hazelnut_cappuccino,218.0
16,5pVcV5V,milk_coffee,4.0
17,93xlxT,chocolate,45.0
18,93xlxT,cortado decaffeinated,14.0
19,CCMAqXtVdM,cortado,21.0
20,CkfZksM2rBrL,cortado,9.0
21,CuAgSlJwl,cortado,28.0
22,CuAgSlJwl,expresso,1.0
23,CuAgSlJwl,milk_coffee,120.0
24,D6F0qp7s7,cortado,28.0
25,D6F0qp7s7,milk_coffee,38.0
26,F96Kv,hazelnut_cappuccino,0.5
27,F96Kv,long_decaffeinated,0.0
28,F96Kv,milk_coffee,2.0
29,FHZemZ,capuccino,4.0
30,FmxgvxmU,capuccino decaffeinated,1.0
31,FmxgvxmU,chocolate,1.0
32,FmxgvxmU,cortado,100.0
33,FmxgvxmU,decaffeinated,1.0
34,FmxgvxmU,expresso,6.0
35,FmxgvxmU,milk_coffee,5.0
36,I3RXU,cortado,0.0
37,I3RXU,milk_coffee,5.0
38,IQtg13hB,expresso,31.0
39,M8TX69h8,arabiar tea,1.0
40,M8TX69h8,milk_coffee,26.0
41,OCUnH,arabiar tea,0.0
42,OCUnH,capuccino,0.5
43,OCUnH,cortado,0.5
44,OCUnH,decaffeinated,0.0
45,OCUnH,expresso,4.0
46,OCUnH,hazelnut_cappuccino,0.0
47,OCUnH,light_coffee,0.0
48,OCUnH,long_coffee,0.0
49,OCUnH,milk_coffee,1.0
50,OJwzAJ33l,expresso,1.0
51,OJwzAJ33l,long_coffee,10.0
52,P5BAwzTfB,capuccino,3.0
53,P5BAwzTfB,capuccino decaffeinated,1.0
54,P5BAwzTfB,hazelnut_cappuccino,9.0
55,P5BAwzTfB,txokolate white,1.0
56,TRFKSXv,chocolate,3.0
57,Vhpk5shpkk,arabiar tea,1.0
58,Vhpk5shpkk,decaffeinated,17.0
59,Vhpk5shpkk,expresso,5.0
60,Vhpk5shpkk,milk_coffee kafeinagabe,1.0
61,Yx3rQ,capuccino,3.0
62,Yx3rQ,chocolate,0.0
63,Yx3rQ,cortado,0.5
64,Yx3rQ,cortado decaffeinated,0.0
65,Yx3rQ,long_coffee,1.0
66,anH4HDH,capuccino,10.0
67,anH4HDH,expresso,2.0
68,d4guBrpB,cortado,36.0
69,d4guBrpB,cortado decaffeinated,15.0
70,fJlBu,capuccino,2.0
71,fJlBu,cortado,0.5
72,fJlBu,txokolate white,0.0
73,fa6SQ,capuccino,1.5
74,fa6SQ,decaffeinated,0.0
75,fa6SQ,hazelnut_cappuccino,3.0
76,fa6SQ,milk_coffee,2.5
77,gKUuuzg9,chocolate,28.0
78,gKUuuzg9,light_coffee,1.0
79,gKUuuzg9,milk_coffee,123.0
80,iia5SP5,chocolate_milk,2.0
81,iia5SP5,hazelnut_cappuccino,13.0
82,jb1CjU1HF,chocolate,7.0
83,jb1CjU1HF,hazelnut_cappuccino,2.0
84,jb1CjU1HF,milk_coffee,19.0
85,larri45h,long_coffee,3.0
86,oS7WZT0,milk_coffee,5.0
87,qpzNDzybrsi,expresso,16.0
88,sZfLY,expresso,1.0
89,uhDooz5uD,expresso,1.0
90,uhDooz5uD,milk_coffee,8.0
91,vRXyI,capuccino,0.0
92,vRXyI,expresso,0.5
93,vRXyI,long_coffee,3.0
94,vRXyI,milk_coffee,0.0
95,ws0cho3,decaffeinated,0.0
96,ws0cho3,expresso,1.0
97,ws0cho3,hazelnut_cappuccino,0.0
98,ws0cho3,milk_coffee,1.0
99,ymETMF4M4,capuccino,16.0
100,ymETMF4M4,decaffeinated,1.0
101,ymETMF4M4,long_coffee,2.0
