,user,service,sum
0,0WFqeFiPx3K,capuccino decaffeinated,1.0
1,0a4Qn,expresso,0.0
2,0a4Qn,long_decaffeinated,0.0
3,0a4Qn,milk_coffee kafeinagabe,0.5
4,0a4Qn,txokolate white,2.0
5,13zpiFiAzJ,expresso,2.0
6,2qDLEBNv,chocolate,1.0
7,2qDLEBNv,hazelnut_cappuccino,1.0
8,2qDLEBNv,long_coffee,2.0
9,2qDLEBNv,milk_coffee,1.0
10,55reHHf,milk_coffee,1.0
11,5pVcV5V,chocolate,16.0
12,5pVcV5V,hazelnut_cappuccino,16.0
13,93xlxT,chocolate,43.0
14,93xlxT,cortado decaffeinated,13.0
15,93xlxT,expresso,1.0
16,93xlxT,hazelnut_cappuccino,2.0
17,CCMAqXtVdM,cortado,5.0
18,CkfZksM2rBrL,cortado,17.0
19,CuAgSlJwl,arabiar tea,0.0
20,CuAgSlJwl,expresso,0.0
21,CuAgSlJwl,milk_coffee,10.0
22,CuAgSlJwl,milk_coffee kafeinagabe,1.0
23,D6F0qp7s7,chocolate_milk,2.0
24,D6F0qp7s7,cortado,74.0
25,D6F0qp7s7,milk_coffee,1.0
26,FHZemZ,capuccino,8.0
27,FHZemZ,milk_coffee,2.0
28,FmxgvxmU,chocolate,1.0
29,FmxgvxmU,cortado,33.0
30,FmxgvxmU,cortado decaffeinated,1.0
31,FmxgvxmU,expresso,2.0
32,FmxgvxmU,light_coffee,1.0
33,I3RXU,milk_coffee,2.0
34,IQtg13hB,expresso,9.0
35,M8TX69h8,arabiar tea,1.0
36,M8TX69h8,milk_coffee,30.0
37,OCUnH,chocolate_milk,1.0
38,OCUnH,cortado,0.0
39,OCUnH,long_decaffeinated,0.0
40,OCUnH,milk_coffee,0.0
41,OJwzAJ33l,chocolate,2.0
42,OJwzAJ33l,expresso,2.0
43,P5BAwzTfB,capuccino,3.0
44,P5BAwzTfB,capuccino decaffeinated,1.0
45,P5BAwzTfB,hazelnut_cappuccino,15.0
46,P5BAwzTfB,txokolate white,1.0
47,TRFKSXv,chocolate,3.0
48,TRFKSXv,expresso,2.0
49,Vhpk5shpkk,arabiar tea,7.0
50,Vhpk5shpkk,capuccino,4.0
51,Vhpk5shpkk,capuccino decaffeinated,2.0
52,Vhpk5shpkk,decaffeinated,47.0
53,Vhpk5shpkk,expresso,13.0
54,Vhpk5shpkk,hazelnut_cappuccino,2.0
55,Vhpk5shpkk,milk_coffee kafeinagabe,1.0
56,Yx3rQ,capuccino,1.0
57,Yx3rQ,cortado,1.5
58,Yx3rQ,decaffeinated,0.0
59,Yx3rQ,hazelnut_cappuccino,0.5
60,Yx3rQ,long_coffee,4.0
61,anH4HDH,capuccino,2.0
62,anH4HDH,expresso,2.0
63,d4guBrpB,capuccino,1.0
64,d4guBrpB,cortado,31.0
65,d4guBrpB,cortado decaffeinated,13.0
66,d4guBrpB,expresso,2.0
67,fJlBu,milk_coffee,1.0
68,fa6SQ,capuccino,1.5
69,fa6SQ,decaffeinated,0.0
70,fa6SQ,hazelnut_cappuccino,3.0
71,fa6SQ,milk_coffee,2.5
72,gKUuuzg9,chocolate,1.0
73,gKUuuzg9,milk_coffee,3.0
74,ieuWQ,capuccino decaffeinated,2.0
75,ieuWQ,cortado,0.0
76,ieuWQ,decaffeinated,2.0
77,ieuWQ,light_coffee,0.0
78,iia5SP5,hazelnut_cappuccino,1.0
79,jb1CjU1HF,chocolate,5.0
80,jb1CjU1HF,milk_coffee,3.0
81,larri45h,long_coffee,3.0
82,oS7WZT0,milk_coffee,12.0
83,qpzNDzybrsi,expresso,1.0
84,uhDooz5uD,milk_coffee,9.0
85,ws0cho3,cortado,0.5
86,ws0cho3,expresso,1.0
87,ws0cho3,hazelnut_cappuccino,2.0
88,ws0cho3,milk_coffee,0.5
89,ymETMF4M4,capuccino,9.0
90,ymETMF4M4,long_coffee,6.0
91,ymETMF4M4,long_decaffeinated,4.0
